inst#,actual,predicted,error,prediction
1,2:FALSE,1:TRUE,+,0.74
2,1:TRUE,2:FALSE,+,0.61
3,1:TRUE,2:FALSE,+,0.69
4,1:TRUE,1:TRUE,,0.59
5,1:TRUE,2:FALSE,+,0.68
6,2:FALSE,2:FALSE,,1
7,1:TRUE,2:FALSE,+,0.54
8,2:FALSE,2:FALSE,,0.67
9,2:FALSE,1:TRUE,+,0.97
10,1:TRUE,2:FALSE,+,0.812
11,2:FALSE,1:TRUE,+,0.97
12,2:FALSE,2:FALSE,,0.67
13,1:TRUE,1:TRUE,,0.58
14,1:TRUE,1:TRUE,,0.7
15,1:TRUE,1:TRUE,,0.67
16,1:TRUE,2:FALSE,+,0.53
17,1:TRUE,1:TRUE,,0.5
18,1:TRUE,2:FALSE,+,0.77
19,2:FALSE,2:FALSE,,0.63
20,2:FALSE,2:FALSE,,0.58
21,1:TRUE,2:FALSE,+,0.83
22,2:FALSE,2:FALSE,,0.85
23,2:FALSE,1:TRUE,+,0.74
24,1:TRUE,1:TRUE,,0.94
25,2:FALSE,2:FALSE,,0.79
26,1:TRUE,1:TRUE,,0.93
27,2:FALSE,1:TRUE,+,0.64
28,2:FALSE,2:FALSE,,0.81
29,2:FALSE,2:FALSE,,0.79
30,1:TRUE,1:TRUE,,0.9
31,2:FALSE,2:FALSE,,0.81
32,1:TRUE,1:TRUE,,0.66
33,1:TRUE,2:FALSE,+,0.64
34,1:TRUE,2:FALSE,+,0.79
35,2:FALSE,2:FALSE,,0.61
36,1:TRUE,1:TRUE,,0.64
37,1:TRUE,1:TRUE,,0.53
38,2:FALSE,2:FALSE,,0.95
39,1:TRUE,1:TRUE,,0.84
40,2:FALSE,2:FALSE,,0.93
41,1:TRUE,1:TRUE,,0.75
42,1:TRUE,2:FALSE,+,0.65
43,2:FALSE,1:TRUE,+,0.51
44,1:TRUE,1:TRUE,,0.98
45,2:FALSE,1:TRUE,+,0.64
46,2:FALSE,1:TRUE,+,0.63
47,1:TRUE,1:TRUE,,0.88
48,2:FALSE,1:TRUE,+,0.6
49,1:TRUE,1:TRUE,,0.98
50,1:TRUE,1:TRUE,,0.91
51,1:TRUE,1:TRUE,,1
52,2:FALSE,2:FALSE,,0.72
53,1:TRUE,1:TRUE,,0.99
54,2:FALSE,1:TRUE,+,0.65
55,1:TRUE,1:TRUE,,0.76
56,2:FALSE,2:FALSE,,0.79
57,1:TRUE,1:TRUE,,0.56
58,2:FALSE,1:TRUE,+,0.61
59,1:TRUE,1:TRUE,,0.98
60,1:TRUE,1:TRUE,,0.74
61,1:TRUE,1:TRUE,,0.71
62,2:FALSE,2:FALSE,,0.87
63,1:TRUE,1:TRUE,,0.69
64,1:TRUE,1:TRUE,,0.7
65,1:TRUE,1:TRUE,,0.98
66,2:FALSE,2:FALSE,,0.636
67,1:TRUE,1:TRUE,,0.87
68,1:TRUE,1:TRUE,,0.53
69,1:TRUE,1:TRUE,,0.99
70,2:FALSE,1:TRUE,+,0.57
71,2:FALSE,2:FALSE,,0.88
72,1:TRUE,1:TRUE,,0.83
73,2:FALSE,1:TRUE,+,0.63
74,1:TRUE,2:FALSE,+,0.827
75,1:TRUE,2:FALSE,+,0.73
76,1:TRUE,1:TRUE,,0.57
77,2:FALSE,1:TRUE,+,0.54
78,2:FALSE,2:FALSE,,0.88
79,2:FALSE,2:FALSE,,0.86
80,2:FALSE,2:FALSE,,0.68
81,2:FALSE,1:TRUE,+,0.59
82,1:TRUE,1:TRUE,,0.66
83,1:TRUE,1:TRUE,,0.75
84,1:TRUE,1:TRUE,,0.67
85,2:FALSE,2:FALSE,,0.8
86,1:TRUE,1:TRUE,,0.83
87,1:TRUE,2:FALSE,+,0.64
88,2:FALSE,1:TRUE,+,0.61
89,2:FALSE,2:FALSE,,0.72
90,1:TRUE,1:TRUE,,0.51
91,1:TRUE,1:TRUE,,0.68
92,1:TRUE,1:TRUE,,0.67
93,2:FALSE,2:FALSE,,0.86
94,2:FALSE,2:FALSE,,0.71
95,2:FALSE,2:FALSE,,1
96,2:FALSE,2:FALSE,,0.998
97,2:FALSE,2:FALSE,,1
98,2:FALSE,2:FALSE,,0.999
99,2:FALSE,2:FALSE,,1
100,2:FALSE,2:FALSE,,1
101,2:FALSE,2:FALSE,,1
102,2:FALSE,2:FALSE,,1
103,2:FALSE,2:FALSE,,1
104,2:FALSE,2:FALSE,,1
105,2:FALSE,2:FALSE,,1
106,2:FALSE,2:FALSE,,1
107,2:FALSE,2:FALSE,,1
108,2:FALSE,2:FALSE,,1
109,2:FALSE,2:FALSE,,1
110,2:FALSE,2:FALSE,,1
111,2:FALSE,2:FALSE,,0.99
112,2:FALSE,2:FALSE,,1
113,2:FALSE,2:FALSE,,0.99
114,2:FALSE,2:FALSE,,1
115,2:FALSE,2:FALSE,,1
116,2:FALSE,2:FALSE,,1
117,2:FALSE,2:FALSE,,1
118,2:FALSE,2:FALSE,,1
119,2:FALSE,1:TRUE,+,0.81
120,2:FALSE,1:TRUE,+,0.81
121,1:TRUE,1:TRUE,,0.98
122,2:FALSE,2:FALSE,,0.84
123,2:FALSE,2:FALSE,,0.74
124,2:FALSE,2:FALSE,,0.6
125,1:TRUE,1:TRUE,,0.98
126,2:FALSE,1:TRUE,+,0.61
127,1:TRUE,2:FALSE,+,0.76
128,1:TRUE,1:TRUE,,0.72
129,2:FALSE,2:FALSE,,0.87
130,2:FALSE,1:TRUE,+,0.643
131,2:FALSE,2:FALSE,,0.6
132,2:FALSE,2:FALSE,,0.83
133,1:TRUE,2:FALSE,+,0.52
134,1:TRUE,1:TRUE,,0.99
135,1:TRUE,1:TRUE,,0.52
136,2:FALSE,1:TRUE,+,0.58
