inst#,actual,predicted,error,prediction
1,1:TRUE,1:TRUE,,0.65
2,1:TRUE,1:TRUE,,0.91
3,2:FALSE,2:FALSE,,0.85
4,2:FALSE,2:FALSE,,0.57
5,1:TRUE,1:TRUE,,0.52
6,1:TRUE,1:TRUE,,0.7
7,1:TRUE,1:TRUE,,0.93
8,2:FALSE,1:TRUE,+,0.57
9,1:TRUE,2:FALSE,+,0.6
10,2:FALSE,1:TRUE,+,0.76
11,1:TRUE,1:TRUE,,0.73
12,1:TRUE,1:TRUE,,0.79
13,2:FALSE,2:FALSE,,0.7
14,1:TRUE,1:TRUE,,0.77
15,1:TRUE,1:TRUE,,0.71
16,2:FALSE,1:TRUE,+,0.53
17,2:FALSE,2:FALSE,,0.73
18,2:FALSE,2:FALSE,,0.55
19,1:TRUE,1:TRUE,,0.75
20,2:FALSE,2:FALSE,,0.94
21,2:FALSE,1:TRUE,+,0.61
22,2:FALSE,2:FALSE,,0.94
23,2:FALSE,2:FALSE,,0.98
24,2:FALSE,2:FALSE,,0.66
25,2:FALSE,2:FALSE,,0.9
26,1:TRUE,2:FALSE,+,0.54
27,1:TRUE,1:TRUE,,0.63
28,1:TRUE,2:FALSE,+,0.77
29,1:TRUE,2:FALSE,+,0.58
30,1:TRUE,2:FALSE,+,0.72
31,2:FALSE,1:TRUE,+,0.54
32,1:TRUE,1:TRUE,,0.94
33,2:FALSE,1:TRUE,+,0.61
34,2:FALSE,1:TRUE,+,0.55
35,2:FALSE,1:TRUE,+,0.85
36,2:FALSE,2:FALSE,,0.91
37,2:FALSE,1:TRUE,+,0.68
38,2:FALSE,2:FALSE,,1
39,2:FALSE,1:TRUE,+,0.57
40,2:FALSE,2:FALSE,,0.66
41,1:TRUE,1:TRUE,,0.55
42,2:FALSE,2:FALSE,,1
43,2:FALSE,2:FALSE,,1
44,1:TRUE,1:TRUE,,0.99
45,1:TRUE,1:TRUE,,0.67
46,1:TRUE,1:TRUE,,0.73
47,2:FALSE,2:FALSE,,0.88
48,1:TRUE,1:TRUE,,0.57
49,2:FALSE,2:FALSE,,0.71
50,1:TRUE,2:FALSE,+,0.84
51,1:TRUE,1:TRUE,,0.63
52,2:FALSE,2:FALSE,,0.53
53,2:FALSE,2:FALSE,,0.98
54,2:FALSE,2:FALSE,,0.79
55,2:FALSE,2:FALSE,,0.99
56,2:FALSE,1:TRUE,+,0.53
57,1:TRUE,1:TRUE,,0.6
58,2:FALSE,1:TRUE,+,0.57
59,2:FALSE,2:FALSE,,0.55
60,2:FALSE,2:FALSE,,0.94
61,2:FALSE,2:FALSE,,0.99
62,2:FALSE,2:FALSE,,0.58
63,2:FALSE,2:FALSE,,0.53
64,2:FALSE,2:FALSE,,0.87
65,2:FALSE,1:TRUE,+,0.57
66,2:FALSE,2:FALSE,,0.88
67,2:FALSE,2:FALSE,,0.67
68,2:FALSE,2:FALSE,,0.9
69,1:TRUE,2:FALSE,+,0.65
70,2:FALSE,2:FALSE,,0.52
71,1:TRUE,2:FALSE,+,0.65
72,2:FALSE,2:FALSE,,0.98
73,2:FALSE,2:FALSE,,0.67
74,2:FALSE,2:FALSE,,0.94
75,2:FALSE,2:FALSE,,0.87
76,1:TRUE,1:TRUE,,0.62
77,1:TRUE,1:TRUE,,0.61
78,2:FALSE,2:FALSE,,0.8
79,2:FALSE,2:FALSE,,0.89
80,2:FALSE,2:FALSE,,0.96
81,2:FALSE,2:FALSE,,0.64
82,2:FALSE,2:FALSE,,0.61
83,1:TRUE,1:TRUE,,0.74
