inst#,actual,predicted,error,prediction
1,2:FALSE,2:FALSE,,1
2,1:TRUE,2:FALSE,+,0.73
3,2:FALSE,2:FALSE,,0.997
4,2:FALSE,2:FALSE,,0.984
5,2:FALSE,2:FALSE,,0.994
6,2:FALSE,2:FALSE,,0.992
7,2:FALSE,2:FALSE,,0.984
8,2:FALSE,2:FALSE,,0.997
9,2:FALSE,2:FALSE,,0.95
10,2:FALSE,2:FALSE,,0.56
11,1:TRUE,1:TRUE,,0.85
12,2:FALSE,2:FALSE,,0.62
13,1:TRUE,1:TRUE,,1
14,1:TRUE,1:TRUE,,0.79
15,2:FALSE,2:FALSE,,0.51
16,2:FALSE,1:TRUE,+,0.54
17,1:TRUE,1:TRUE,,0.83
18,2:FALSE,1:TRUE,+,0.77
19,2:FALSE,2:FALSE,,0.69
20,2:FALSE,1:TRUE,+,0.59
21,2:FALSE,2:FALSE,,0.65
22,2:FALSE,2:FALSE,,0.53
23,2:FALSE,2:FALSE,,0.55
24,1:TRUE,1:TRUE,,0.97
25,1:TRUE,1:TRUE,,0.98
26,1:TRUE,1:TRUE,,0.92
27,2:FALSE,2:FALSE,,0.93
28,2:FALSE,2:FALSE,,0.67
29,1:TRUE,1:TRUE,,0.61
30,1:TRUE,1:TRUE,,0.7
31,1:TRUE,1:TRUE,,0.94
32,2:FALSE,1:TRUE,+,0.6
33,1:TRUE,1:TRUE,,0.97
34,2:FALSE,1:TRUE,+,0.71
35,2:FALSE,2:FALSE,,0.61
36,2:FALSE,1:TRUE,+,0.71
37,1:TRUE,1:TRUE,,0.96
38,1:TRUE,1:TRUE,,0.88
39,1:TRUE,1:TRUE,,0.95
40,1:TRUE,1:TRUE,,0.87
41,1:TRUE,1:TRUE,,0.91
42,2:FALSE,1:TRUE,+,0.63
43,1:TRUE,1:TRUE,,0.99
44,1:TRUE,1:TRUE,,0.84
45,1:TRUE,1:TRUE,,0.59
46,2:FALSE,2:FALSE,,0.75
47,1:TRUE,2:FALSE,+,0.7
48,1:TRUE,1:TRUE,,0.73
49,1:TRUE,1:TRUE,,0.94
50,2:FALSE,2:FALSE,,0.68
51,1:TRUE,1:TRUE,,0.73
52,1:TRUE,2:FALSE,+,0.72
53,2:FALSE,1:TRUE,+,0.82
54,2:FALSE,2:FALSE,,1
55,2:FALSE,2:FALSE,,0.996
56,2:FALSE,2:FALSE,,1
