inst#,actual,predicted,error,prediction
1,2:FALSE,2:FALSE,,0.988
2,2:FALSE,2:FALSE,,1
3,2:FALSE,2:FALSE,,1
4,2:FALSE,2:FALSE,,1
5,2:FALSE,2:FALSE,,1
6,2:FALSE,2:FALSE,,1
7,2:FALSE,2:FALSE,,1
8,2:FALSE,2:FALSE,,1
9,2:FALSE,2:FALSE,,0.99
10,2:FALSE,2:FALSE,,1
11,2:FALSE,2:FALSE,,1
12,2:FALSE,2:FALSE,,1
13,2:FALSE,2:FALSE,,1
14,2:FALSE,2:FALSE,,1
15,2:FALSE,2:FALSE,,1
16,2:FALSE,2:FALSE,,1
17,2:FALSE,1:TRUE,+,0.5
18,2:FALSE,2:FALSE,,1
19,2:FALSE,2:FALSE,,1
20,1:TRUE,1:TRUE,,1
21,1:TRUE,1:TRUE,,0.9
22,1:TRUE,1:TRUE,,0.84
23,2:FALSE,2:FALSE,,1
24,1:TRUE,1:TRUE,,0.85
25,2:FALSE,2:FALSE,,0.6
26,2:FALSE,1:TRUE,+,0.72
27,1:TRUE,1:TRUE,,0.97
28,2:FALSE,1:TRUE,+,0.83
29,2:FALSE,2:FALSE,,1
30,1:TRUE,1:TRUE,,0.66
31,1:TRUE,1:TRUE,,0.93
32,1:TRUE,1:TRUE,,0.96
33,2:FALSE,2:FALSE,,0.51
34,1:TRUE,1:TRUE,,0.88
35,2:FALSE,1:TRUE,+,0.5
36,2:FALSE,2:FALSE,,0.982
37,1:TRUE,2:FALSE,+,0.53
38,1:TRUE,1:TRUE,,0.93
39,2:FALSE,2:FALSE,,1
40,2:FALSE,2:FALSE,,0.99
41,2:FALSE,1:TRUE,+,0.63
42,2:FALSE,1:TRUE,+,0.86
43,1:TRUE,1:TRUE,,0.96
44,1:TRUE,1:TRUE,,0.86
45,1:TRUE,1:TRUE,,0.95
46,1:TRUE,2:FALSE,+,0.55
47,2:FALSE,1:TRUE,+,0.61
48,1:TRUE,1:TRUE,,0.89
49,2:FALSE,1:TRUE,+,0.6
50,2:FALSE,1:TRUE,+,0.75
51,1:TRUE,1:TRUE,,0.74
52,1:TRUE,1:TRUE,,0.9
53,1:TRUE,1:TRUE,,0.95
54,2:FALSE,1:TRUE,+,0.97
55,2:FALSE,2:FALSE,,1
56,2:FALSE,2:FALSE,,1
57,2:FALSE,2:FALSE,,1
58,1:TRUE,1:TRUE,,0.9
59,2:FALSE,2:FALSE,,1
60,2:FALSE,2:FALSE,,0.994
61,1:TRUE,1:TRUE,,0.92
62,2:FALSE,2:FALSE,,0.82
63,2:FALSE,2:FALSE,,1
64,1:TRUE,1:TRUE,,0.85
65,2:FALSE,1:TRUE,+,0.58
66,1:TRUE,1:TRUE,,0.84
67,2:FALSE,2:FALSE,,0.59
68,2:FALSE,1:TRUE,+,0.91
69,1:TRUE,1:TRUE,,0.95
70,2:FALSE,1:TRUE,+,0.77
71,1:TRUE,1:TRUE,,0.92
72,2:FALSE,1:TRUE,+,0.73
73,2:FALSE,2:FALSE,,0.51
74,2:FALSE,2:FALSE,,0.9
75,1:TRUE,1:TRUE,,0.5
76,1:TRUE,1:TRUE,,0.71
77,1:TRUE,1:TRUE,,0.98
78,1:TRUE,1:TRUE,,0.98
79,2:FALSE,1:TRUE,+,0.79
80,2:FALSE,2:FALSE,,1
81,1:TRUE,1:TRUE,,0.98
82,2:FALSE,2:FALSE,,0.66
83,2:FALSE,2:FALSE,,1
84,1:TRUE,1:TRUE,,0.958
85,1:TRUE,1:TRUE,,0.99
86,1:TRUE,1:TRUE,,0.95
87,1:TRUE,1:TRUE,,0.92
88,2:FALSE,2:FALSE,,1
89,2:FALSE,2:FALSE,,1
90,2:FALSE,2:FALSE,,0.81
91,2:FALSE,2:FALSE,,1
92,2:FALSE,2:FALSE,,1
93,1:TRUE,1:TRUE,,0.91
94,1:TRUE,1:TRUE,,0.93
95,1:TRUE,1:TRUE,,0.74
96,2:FALSE,2:FALSE,,0.56
97,1:TRUE,1:TRUE,,0.88
98,2:FALSE,2:FALSE,,0.56
99,1:TRUE,1:TRUE,,0.71
100,1:TRUE,1:TRUE,,0.7
101,1:TRUE,1:TRUE,,0.99
102,2:FALSE,1:TRUE,+,0.82
103,1:TRUE,1:TRUE,,1
104,1:TRUE,1:TRUE,,0.71
105,2:FALSE,1:TRUE,+,0.73
106,2:FALSE,1:TRUE,+,0.7
107,1:TRUE,1:TRUE,,0.99
108,2:FALSE,1:TRUE,+,0.59
109,1:TRUE,1:TRUE,,0.92
110,1:TRUE,1:TRUE,,0.96
111,1:TRUE,1:TRUE,,0.95
112,2:FALSE,2:FALSE,,0.63
113,2:FALSE,2:FALSE,,0.58
114,2:FALSE,2:FALSE,,1
115,1:TRUE,1:TRUE,,0.51
116,2:FALSE,2:FALSE,,1
117,1:TRUE,1:TRUE,,0.64
118,2:FALSE,2:FALSE,,0.82
119,2:FALSE,2:FALSE,,1
120,2:FALSE,2:FALSE,,1
121,2:FALSE,2:FALSE,,0.88
122,2:FALSE,2:FALSE,,1
123,1:TRUE,1:TRUE,,0.52
124,1:TRUE,1:TRUE,,0.7
125,2:FALSE,2:FALSE,,0.64
126,2:FALSE,1:TRUE,+,0.66
127,2:FALSE,2:FALSE,,0.94
128,1:TRUE,1:TRUE,,0.6
129,1:TRUE,1:TRUE,,0.94
130,2:FALSE,1:TRUE,+,0.51
131,2:FALSE,2:FALSE,,0.9
132,2:FALSE,2:FALSE,,0.95
133,2:FALSE,2:FALSE,,0.93
134,2:FALSE,2:FALSE,,0.79
135,2:FALSE,2:FALSE,,0.59
136,2:FALSE,2:FALSE,,0.55
137,2:FALSE,2:FALSE,,0.58
138,2:FALSE,1:TRUE,+,0.62
139,2:FALSE,2:FALSE,,0.53
140,2:FALSE,2:FALSE,,0.77
141,2:FALSE,1:TRUE,+,0.5
142,1:TRUE,1:TRUE,,0.85
143,2:FALSE,2:FALSE,,0.62
144,1:TRUE,1:TRUE,,0.76
145,2:FALSE,2:FALSE,,0.99
146,2:FALSE,1:TRUE,+,0.79
147,2:FALSE,2:FALSE,,0.85
148,1:TRUE,1:TRUE,,0.84
149,2:FALSE,2:FALSE,,0.87
150,2:FALSE,1:TRUE,+,0.71
151,1:TRUE,1:TRUE,,0.95
152,1:TRUE,1:TRUE,,0.89
153,2:FALSE,2:FALSE,,1
154,2:FALSE,2:FALSE,,0.52
155,2:FALSE,1:TRUE,+,0.89
156,1:TRUE,1:TRUE,,0.87
157,2:FALSE,2:FALSE,,0.77
158,1:TRUE,1:TRUE,,0.79
159,2:FALSE,2:FALSE,,0.8
160,2:FALSE,2:FALSE,,0.56
161,2:FALSE,1:TRUE,+,0.59
162,2:FALSE,1:TRUE,+,0.59
163,1:TRUE,1:TRUE,,0.81
164,1:TRUE,1:TRUE,,0.82
165,1:TRUE,1:TRUE,,0.84
166,2:FALSE,1:TRUE,+,0.88
167,2:FALSE,1:TRUE,+,0.61
168,1:TRUE,1:TRUE,,0.95
169,2:FALSE,1:TRUE,+,0.73
170,2:FALSE,1:TRUE,+,0.61
171,2:FALSE,2:FALSE,,0.65
172,2:FALSE,2:FALSE,,1
173,2:FALSE,2:FALSE,,0.56
174,1:TRUE,1:TRUE,,0.89
175,2:FALSE,2:FALSE,,1
176,2:FALSE,2:FALSE,,1
177,2:FALSE,2:FALSE,,1
178,2:FALSE,2:FALSE,,0.84
179,2:FALSE,2:FALSE,,1
180,1:TRUE,1:TRUE,,0.86
181,2:FALSE,1:TRUE,+,0.72
182,2:FALSE,2:FALSE,,1
183,1:TRUE,1:TRUE,,0.78
184,2:FALSE,2:FALSE,,1
185,2:FALSE,1:TRUE,+,0.581
186,1:TRUE,1:TRUE,,0.923
187,2:FALSE,2:FALSE,,0.78
188,2:FALSE,2:FALSE,,0.556
189,2:FALSE,2:FALSE,,0.978
190,2:FALSE,1:TRUE,+,0.679
191,2:FALSE,2:FALSE,,0.529
192,2:FALSE,2:FALSE,,0.772
193,2:FALSE,1:TRUE,+,0.699
194,2:FALSE,1:TRUE,+,0.597
195,2:FALSE,1:TRUE,+,0.751
196,1:TRUE,1:TRUE,,0.719
197,2:FALSE,2:FALSE,,1
198,2:FALSE,2:FALSE,,1
199,1:TRUE,1:TRUE,,0.92
200,1:TRUE,2:FALSE,+,0.7
201,1:TRUE,1:TRUE,,0.94
202,2:FALSE,2:FALSE,,1
203,2:FALSE,2:FALSE,,0.52
204,2:FALSE,2:FALSE,,0.8
205,2:FALSE,2:FALSE,,1
206,1:TRUE,1:TRUE,,0.68
207,1:TRUE,1:TRUE,,0.83
208,2:FALSE,1:TRUE,+,0.8
209,1:TRUE,1:TRUE,,0.93
210,1:TRUE,1:TRUE,,0.95
211,1:TRUE,1:TRUE,,0.6
212,2:FALSE,1:TRUE,+,0.72
213,2:FALSE,2:FALSE,,0.56
214,2:FALSE,1:TRUE,+,0.6
215,1:TRUE,1:TRUE,,0.94
216,2:FALSE,2:FALSE,,0.74
217,1:TRUE,1:TRUE,,0.8
218,2:FALSE,2:FALSE,,0.52
219,1:TRUE,1:TRUE,,0.94
220,2:FALSE,1:TRUE,+,0.74
221,2:FALSE,2:FALSE,,0.7
222,1:TRUE,1:TRUE,,0.55
223,1:TRUE,1:TRUE,,0.93
224,2:FALSE,1:TRUE,+,0.72
225,1:TRUE,1:TRUE,,0.53
226,1:TRUE,1:TRUE,,0.84
227,1:TRUE,1:TRUE,,0.76
228,1:TRUE,1:TRUE,,0.77
229,1:TRUE,2:FALSE,+,0.65
230,1:TRUE,1:TRUE,,0.84
231,1:TRUE,2:FALSE,+,0.63
232,1:TRUE,1:TRUE,,0.72
233,2:FALSE,2:FALSE,,0.63
234,2:FALSE,2:FALSE,,0.61
235,1:TRUE,1:TRUE,,0.99
236,2:FALSE,1:TRUE,+,0.68
237,1:TRUE,1:TRUE,,0.99
238,2:FALSE,2:FALSE,,0.998
239,2:FALSE,2:FALSE,,1
240,1:TRUE,1:TRUE,,0.69
241,2:FALSE,2:FALSE,,1
242,2:FALSE,2:FALSE,,0.99
243,2:FALSE,2:FALSE,,0.97
244,2:FALSE,2:FALSE,,1
245,2:FALSE,2:FALSE,,1
246,2:FALSE,2:FALSE,,1
247,2:FALSE,2:FALSE,,1
248,2:FALSE,2:FALSE,,1
249,2:FALSE,2:FALSE,,0.991
250,2:FALSE,2:FALSE,,1
251,2:FALSE,2:FALSE,,0.991
252,2:FALSE,2:FALSE,,1
253,2:FALSE,2:FALSE,,1
254,1:TRUE,1:TRUE,,0.89
255,1:TRUE,1:TRUE,,0.84
256,1:TRUE,1:TRUE,,0.96
257,2:FALSE,1:TRUE,+,0.62
258,2:FALSE,1:TRUE,+,0.64
259,2:FALSE,1:TRUE,+,0.95
260,2:FALSE,2:FALSE,,0.58
261,2:FALSE,2:FALSE,,0.77
262,1:TRUE,1:TRUE,,0.81
263,1:TRUE,1:TRUE,,0.81
