inst#,actual,predicted,error,prediction
1,1:TRUE,1:TRUE,,1
2,2:FALSE,2:FALSE,,1
3,1:TRUE,1:TRUE,,1
4,2:FALSE,2:FALSE,,1
5,1:TRUE,1:TRUE,,1
6,2:FALSE,2:FALSE,,1
7,2:FALSE,2:FALSE,,1
8,1:TRUE,1:TRUE,,1
9,1:TRUE,1:TRUE,,1
10,2:FALSE,2:FALSE,,1
11,1:TRUE,1:TRUE,,1
12,2:FALSE,1:TRUE,+,1
13,1:TRUE,1:TRUE,,1
14,2:FALSE,2:FALSE,,1
15,1:TRUE,1:TRUE,,1
16,1:TRUE,1:TRUE,,1
17,1:TRUE,1:TRUE,,1
18,1:TRUE,1:TRUE,,1
19,2:FALSE,1:TRUE,+,1
20,1:TRUE,2:FALSE,+,1
21,1:TRUE,1:TRUE,,1
22,2:FALSE,1:TRUE,+,1
23,1:TRUE,1:TRUE,,1
24,1:TRUE,1:TRUE,,1
25,1:TRUE,1:TRUE,,1
26,1:TRUE,1:TRUE,,1
27,1:TRUE,2:FALSE,+,1
28,1:TRUE,1:TRUE,,1
29,1:TRUE,1:TRUE,,1
30,1:TRUE,1:TRUE,,1
31,1:TRUE,1:TRUE,,1
32,1:TRUE,1:TRUE,,1
33,2:FALSE,2:FALSE,,1
34,2:FALSE,1:TRUE,+,1
35,1:TRUE,1:TRUE,,1
36,1:TRUE,1:TRUE,,1
37,1:TRUE,1:TRUE,,1
38,1:TRUE,1:TRUE,,1
39,2:FALSE,1:TRUE,+,1
40,1:TRUE,1:TRUE,,1
41,1:TRUE,1:TRUE,,1
42,1:TRUE,1:TRUE,,1
43,1:TRUE,1:TRUE,,1
44,1:TRUE,1:TRUE,,1
45,1:TRUE,1:TRUE,,1
46,1:TRUE,1:TRUE,,1
47,1:TRUE,1:TRUE,,1
48,2:FALSE,1:TRUE,+,1
49,1:TRUE,1:TRUE,,1
50,1:TRUE,1:TRUE,,1
51,2:FALSE,1:TRUE,+,1
52,1:TRUE,1:TRUE,,1
53,1:TRUE,1:TRUE,,1
54,1:TRUE,1:TRUE,,1
55,1:TRUE,1:TRUE,,1
56,1:TRUE,1:TRUE,,1
57,1:TRUE,1:TRUE,,1
58,2:FALSE,1:TRUE,+,1
59,1:TRUE,1:TRUE,,1
60,2:FALSE,1:TRUE,+,1
61,1:TRUE,1:TRUE,,1
62,1:TRUE,1:TRUE,,1
63,1:TRUE,1:TRUE,,1
64,1:TRUE,1:TRUE,,1
65,1:TRUE,1:TRUE,,1
66,2:FALSE,1:TRUE,+,1
67,2:FALSE,2:FALSE,,1
68,1:TRUE,1:TRUE,,1
69,1:TRUE,1:TRUE,,1
70,1:TRUE,1:TRUE,,1
71,1:TRUE,1:TRUE,,1
72,2:FALSE,1:TRUE,+,1
73,1:TRUE,1:TRUE,,1
74,1:TRUE,1:TRUE,,1
75,2:FALSE,2:FALSE,,1
76,1:TRUE,1:TRUE,,1
77,1:TRUE,1:TRUE,,1
78,2:FALSE,1:TRUE,+,1
79,2:FALSE,1:TRUE,+,1
80,1:TRUE,1:TRUE,,1
81,1:TRUE,1:TRUE,,1
82,1:TRUE,1:TRUE,,1
83,1:TRUE,1:TRUE,,1
84,1:TRUE,1:TRUE,,1
85,1:TRUE,1:TRUE,,1
86,1:TRUE,1:TRUE,,1
87,2:FALSE,1:TRUE,+,1
88,2:FALSE,2:FALSE,,1
89,2:FALSE,2:FALSE,,1
90,2:FALSE,2:FALSE,,1
91,2:FALSE,2:FALSE,,1
92,2:FALSE,2:FALSE,,1
93,1:TRUE,1:TRUE,,1
94,2:FALSE,2:FALSE,,1
95,2:FALSE,2:FALSE,,1
96,2:FALSE,2:FALSE,,1
97,2:FALSE,2:FALSE,,1
98,2:FALSE,2:FALSE,,1
99,2:FALSE,2:FALSE,,1
100,1:TRUE,1:TRUE,,1
101,2:FALSE,2:FALSE,,1
102,2:FALSE,2:FALSE,,1
103,1:TRUE,1:TRUE,,1
104,2:FALSE,2:FALSE,,1
105,1:TRUE,1:TRUE,,1
106,2:FALSE,2:FALSE,,1
107,2:FALSE,2:FALSE,,1
108,1:TRUE,1:TRUE,,1
109,1:TRUE,1:TRUE,,1
110,2:FALSE,2:FALSE,,1
111,1:TRUE,1:TRUE,,1
112,2:FALSE,2:FALSE,,1
113,2:FALSE,1:TRUE,+,1
114,1:TRUE,1:TRUE,,1
115,1:TRUE,1:TRUE,,1
116,2:FALSE,2:FALSE,,1
117,1:TRUE,1:TRUE,,1
118,1:TRUE,1:TRUE,,1
119,1:TRUE,1:TRUE,,1
120,1:TRUE,1:TRUE,,1
121,1:TRUE,1:TRUE,,1
122,1:TRUE,1:TRUE,,1
123,1:TRUE,1:TRUE,,1
124,1:TRUE,1:TRUE,,1
125,2:FALSE,1:TRUE,+,1
126,1:TRUE,1:TRUE,,1
127,1:TRUE,1:TRUE,,1
128,1:TRUE,1:TRUE,,1
129,2:FALSE,1:TRUE,+,1
130,1:TRUE,1:TRUE,,1
131,1:TRUE,1:TRUE,,1
132,2:FALSE,1:TRUE,+,1
133,1:TRUE,1:TRUE,,1
134,1:TRUE,1:TRUE,,1
135,2:FALSE,2:FALSE,,1
136,2:FALSE,1:TRUE,+,1
137,1:TRUE,1:TRUE,,1
138,1:TRUE,1:TRUE,,1
139,1:TRUE,1:TRUE,,1
140,2:FALSE,1:TRUE,+,1
141,1:TRUE,1:TRUE,,1
142,2:FALSE,1:TRUE,+,1
143,1:TRUE,1:TRUE,,1
144,2:FALSE,2:FALSE,,1
145,1:TRUE,1:TRUE,,1
146,1:TRUE,1:TRUE,,1
147,1:TRUE,1:TRUE,,1
148,2:FALSE,1:TRUE,+,1
149,2:FALSE,2:FALSE,,1
150,1:TRUE,1:TRUE,,1
151,2:FALSE,1:TRUE,+,1
152,1:TRUE,1:TRUE,,1
153,1:TRUE,1:TRUE,,1
154,1:TRUE,1:TRUE,,1
155,1:TRUE,1:TRUE,,1
156,2:FALSE,2:FALSE,,1
157,1:TRUE,1:TRUE,,1
158,1:TRUE,1:TRUE,,1
159,1:TRUE,1:TRUE,,1
160,1:TRUE,1:TRUE,,1
161,2:FALSE,1:TRUE,+,1
162,2:FALSE,1:TRUE,+,1
163,2:FALSE,2:FALSE,,1
164,1:TRUE,1:TRUE,,1
165,2:FALSE,1:TRUE,+,1
166,1:TRUE,1:TRUE,,1
167,2:FALSE,1:TRUE,+,1
168,1:TRUE,1:TRUE,,1
169,1:TRUE,1:TRUE,,1
170,1:TRUE,1:TRUE,,1
171,1:TRUE,1:TRUE,,1
172,2:FALSE,1:TRUE,+,1
173,2:FALSE,1:TRUE,+,1
174,2:FALSE,1:TRUE,+,1
175,2:FALSE,2:FALSE,,1
176,2:FALSE,2:FALSE,,1
177,2:FALSE,2:FALSE,,1
178,1:TRUE,1:TRUE,,1
179,2:FALSE,1:TRUE,+,1
180,1:TRUE,1:TRUE,,1
181,1:TRUE,1:TRUE,,1
182,1:TRUE,1:TRUE,,1
183,2:FALSE,2:FALSE,,1
184,1:TRUE,1:TRUE,,1
185,2:FALSE,1:TRUE,+,1
186,2:FALSE,1:TRUE,+,1
187,2:FALSE,2:FALSE,,1
188,2:FALSE,2:FALSE,,1
189,1:TRUE,1:TRUE,,1
190,2:FALSE,1:TRUE,+,1
191,2:FALSE,2:FALSE,,1
192,2:FALSE,2:FALSE,,1
193,1:TRUE,1:TRUE,,1
194,1:TRUE,1:TRUE,,1
195,2:FALSE,2:FALSE,,1
196,1:TRUE,1:TRUE,,1
197,2:FALSE,2:FALSE,,1
198,2:FALSE,2:FALSE,,1
