inst#,actual,predicted,error,prediction
1,2:FALSE,1:TRUE,+,0.69
2,2:FALSE,2:FALSE,,0.987
3,2:FALSE,2:FALSE,,0.993
4,1:TRUE,1:TRUE,,0.93
5,2:FALSE,2:FALSE,,0.955
6,2:FALSE,2:FALSE,,0.993
7,2:FALSE,2:FALSE,,0.895
8,2:FALSE,2:FALSE,,0.981
9,2:FALSE,1:TRUE,+,0.9
10,2:FALSE,2:FALSE,,0.998
11,1:TRUE,1:TRUE,,1
12,2:FALSE,1:TRUE,+,0.74
13,1:TRUE,1:TRUE,,0.83
14,2:FALSE,1:TRUE,+,0.76
15,1:TRUE,1:TRUE,,0.99
16,1:TRUE,1:TRUE,,0.87
17,1:TRUE,2:FALSE,+,0.58
18,1:TRUE,1:TRUE,,0.87
19,1:TRUE,1:TRUE,,0.96
20,1:TRUE,1:TRUE,,0.82
21,1:TRUE,1:TRUE,,0.99
22,1:TRUE,1:TRUE,,0.97
23,1:TRUE,1:TRUE,,0.97
24,1:TRUE,1:TRUE,,0.9
25,1:TRUE,1:TRUE,,0.97
26,2:FALSE,2:FALSE,,0.99
27,1:TRUE,1:TRUE,,0.894
28,1:TRUE,1:TRUE,,0.97
29,2:FALSE,2:FALSE,,0.99
30,2:FALSE,2:FALSE,,0.68
31,2:FALSE,1:TRUE,+,0.66
32,1:TRUE,1:TRUE,,0.91
33,2:FALSE,2:FALSE,,1
34,1:TRUE,1:TRUE,,0.57
35,1:TRUE,1:TRUE,,0.79
36,2:FALSE,2:FALSE,,0.994
37,1:TRUE,1:TRUE,,0.89
38,1:TRUE,1:TRUE,,0.82
39,2:FALSE,1:TRUE,+,0.74
40,2:FALSE,1:TRUE,+,0.776
41,2:FALSE,1:TRUE,+,0.56
42,1:TRUE,1:TRUE,,0.653
43,2:FALSE,2:FALSE,,0.759
44,1:TRUE,1:TRUE,,0.949
45,2:FALSE,1:TRUE,+,0.67
46,1:TRUE,1:TRUE,,0.879
47,2:FALSE,1:TRUE,+,0.671
48,1:TRUE,1:TRUE,,0.724
49,2:FALSE,1:TRUE,+,0.91
50,1:TRUE,1:TRUE,,1
51,2:FALSE,1:TRUE,+,0.75
52,2:FALSE,2:FALSE,,0.75
53,1:TRUE,1:TRUE,,0.92
54,2:FALSE,2:FALSE,,0.77
55,1:TRUE,1:TRUE,,0.99
56,2:FALSE,1:TRUE,+,0.97
57,2:FALSE,1:TRUE,+,0.66
58,1:TRUE,1:TRUE,,0.91
59,2:FALSE,2:FALSE,,0.83
60,1:TRUE,1:TRUE,,0.93
61,2:FALSE,2:FALSE,,0.66
62,2:FALSE,1:TRUE,+,0.92
63,2:FALSE,2:FALSE,,0.59
64,1:TRUE,1:TRUE,,0.88
65,1:TRUE,1:TRUE,,0.98
66,1:TRUE,1:TRUE,,0.78
67,1:TRUE,1:TRUE,,0.99
68,1:TRUE,1:TRUE,,1
69,2:FALSE,1:TRUE,+,0.95
70,1:TRUE,1:TRUE,,0.95
71,2:FALSE,1:TRUE,+,0.76
72,2:FALSE,2:FALSE,,0.78
73,1:TRUE,1:TRUE,,0.77
74,1:TRUE,1:TRUE,,1
75,1:TRUE,1:TRUE,,0.99
76,2:FALSE,1:TRUE,+,0.77
77,1:TRUE,1:TRUE,,0.89
78,1:TRUE,1:TRUE,,0.81
79,1:TRUE,1:TRUE,,0.91
80,1:TRUE,1:TRUE,,0.98
81,1:TRUE,1:TRUE,,0.88
82,2:FALSE,2:FALSE,,0.78
83,1:TRUE,1:TRUE,,0.7
84,1:TRUE,1:TRUE,,0.89
85,1:TRUE,1:TRUE,,0.95
86,2:FALSE,2:FALSE,,0.8
87,2:FALSE,2:FALSE,,0.7
88,2:FALSE,1:TRUE,+,0.85
89,2:FALSE,1:TRUE,+,0.72
90,2:FALSE,1:TRUE,+,0.65
91,2:FALSE,2:FALSE,,1
92,2:FALSE,2:FALSE,,1
93,2:FALSE,2:FALSE,,0.99
94,1:TRUE,1:TRUE,,0.74
95,2:FALSE,2:FALSE,,0.98
96,2:FALSE,2:FALSE,,1
97,2:FALSE,2:FALSE,,1
98,2:FALSE,2:FALSE,,1
99,2:FALSE,1:TRUE,+,0.96
100,1:TRUE,1:TRUE,,0.58
101,2:FALSE,2:FALSE,,1
102,2:FALSE,2:FALSE,,1
103,2:FALSE,2:FALSE,,1
104,2:FALSE,2:FALSE,,1
105,1:TRUE,1:TRUE,,0.88
106,2:FALSE,1:TRUE,+,0.66
107,1:TRUE,1:TRUE,,0.89
108,1:TRUE,1:TRUE,,0.84
109,1:TRUE,1:TRUE,,0.96
110,1:TRUE,1:TRUE,,0.93
111,1:TRUE,1:TRUE,,0.8
112,1:TRUE,1:TRUE,,0.97
113,2:FALSE,1:TRUE,+,0.74
114,2:FALSE,2:FALSE,,1
115,2:FALSE,1:TRUE,+,0.6
116,2:FALSE,1:TRUE,+,0.61
117,1:TRUE,1:TRUE,,0.56
118,2:FALSE,1:TRUE,+,0.97
119,1:TRUE,1:TRUE,,0.96
120,1:TRUE,1:TRUE,,0.92
121,1:TRUE,2:FALSE,+,0.54
122,2:FALSE,1:TRUE,+,0.87
123,1:TRUE,1:TRUE,,1
124,2:FALSE,1:TRUE,+,0.77
125,1:TRUE,1:TRUE,,0.86
126,1:TRUE,1:TRUE,,0.93
127,1:TRUE,1:TRUE,,0.99
128,2:FALSE,2:FALSE,,0.66
129,1:TRUE,1:TRUE,,0.97
130,1:TRUE,1:TRUE,,0.87
131,1:TRUE,1:TRUE,,0.85
132,1:TRUE,1:TRUE,,0.9
133,1:TRUE,1:TRUE,,1
134,2:FALSE,2:FALSE,,0.98
135,2:FALSE,2:FALSE,,0.99
136,2:FALSE,2:FALSE,,0.99
137,2:FALSE,2:FALSE,,1
138,2:FALSE,2:FALSE,,0.99
139,2:FALSE,1:TRUE,+,0.93
140,2:FALSE,2:FALSE,,0.61
141,2:FALSE,2:FALSE,,0.992
142,2:FALSE,1:TRUE,+,0.59
143,2:FALSE,1:TRUE,+,0.63
144,1:TRUE,1:TRUE,,0.84
145,2:FALSE,2:FALSE,,0.984
146,2:FALSE,1:TRUE,+,0.64
147,2:FALSE,2:FALSE,,0.6
148,2:FALSE,2:FALSE,,1
149,2:FALSE,1:TRUE,+,0.92
150,2:FALSE,1:TRUE,+,0.86
151,1:TRUE,1:TRUE,,0.98
152,1:TRUE,1:TRUE,,0.99
153,2:FALSE,2:FALSE,,0.99
154,1:TRUE,1:TRUE,,0.99
155,2:FALSE,1:TRUE,+,0.94
156,1:TRUE,1:TRUE,,0.99
157,2:FALSE,1:TRUE,+,0.76
158,2:FALSE,2:FALSE,,0.66
159,2:FALSE,1:TRUE,+,0.54
160,2:FALSE,2:FALSE,,1
161,2:FALSE,2:FALSE,,0.57
162,2:FALSE,2:FALSE,,0.99
163,2:FALSE,2:FALSE,,1
164,1:TRUE,1:TRUE,,0.59
165,1:TRUE,1:TRUE,,1
166,2:FALSE,1:TRUE,+,0.71
167,1:TRUE,1:TRUE,,0.79
168,2:FALSE,1:TRUE,+,0.73
169,2:FALSE,2:FALSE,,0.55
170,2:FALSE,2:FALSE,,0.75
171,2:FALSE,1:TRUE,+,0.96
172,2:FALSE,1:TRUE,+,0.93
173,2:FALSE,1:TRUE,+,0.5
174,2:FALSE,2:FALSE,,1
175,2:FALSE,2:FALSE,,0.994
176,2:FALSE,2:FALSE,,0.99
177,2:FALSE,2:FALSE,,0.991
178,2:FALSE,2:FALSE,,0.63
179,2:FALSE,2:FALSE,,0.72
180,2:FALSE,2:FALSE,,0.98
181,2:FALSE,1:TRUE,+,0.54
182,2:FALSE,2:FALSE,,1
183,2:FALSE,1:TRUE,+,0.59
