inst#,actual,predicted,error,prediction
1,1:TRUE,1:TRUE,,0.96
2,1:TRUE,1:TRUE,,0.85
3,1:TRUE,1:TRUE,,0.96
4,1:TRUE,1:TRUE,,0.85
5,1:TRUE,1:TRUE,,0.96
6,2:FALSE,1:TRUE,+,0.63
7,1:TRUE,1:TRUE,,0.88
8,1:TRUE,1:TRUE,,0.84
9,2:FALSE,1:TRUE,+,0.51
10,1:TRUE,1:TRUE,,0.93
11,1:TRUE,1:TRUE,,0.93
12,1:TRUE,1:TRUE,,0.87
13,1:TRUE,1:TRUE,,0.98
14,2:FALSE,1:TRUE,+,0.7
15,1:TRUE,1:TRUE,,0.55
16,1:TRUE,1:TRUE,,0.82
17,2:FALSE,2:FALSE,,0.999
18,1:TRUE,1:TRUE,,0.91
19,2:FALSE,2:FALSE,,0.57
20,1:TRUE,1:TRUE,,0.99
21,2:FALSE,2:FALSE,,0.6
22,1:TRUE,1:TRUE,,0.68
23,2:FALSE,2:FALSE,,0.78
24,2:FALSE,1:TRUE,+,0.68
25,2:FALSE,2:FALSE,,0.971
26,1:TRUE,1:TRUE,,0.84
27,1:TRUE,1:TRUE,,0.63
28,2:FALSE,2:FALSE,,1
29,1:TRUE,1:TRUE,,0.54
30,2:FALSE,2:FALSE,,0.92
31,2:FALSE,2:FALSE,,0.71
32,2:FALSE,2:FALSE,,1
33,1:TRUE,1:TRUE,,0.89
34,1:TRUE,1:TRUE,,0.58
35,2:FALSE,2:FALSE,,0.53
36,1:TRUE,1:TRUE,,0.95
37,1:TRUE,1:TRUE,,0.65
38,1:TRUE,2:FALSE,+,0.55
39,2:FALSE,2:FALSE,,1
40,1:TRUE,1:TRUE,,0.95
41,1:TRUE,1:TRUE,,0.81
42,2:FALSE,1:TRUE,+,0.89
43,2:FALSE,1:TRUE,+,0.77
44,2:FALSE,1:TRUE,+,0.63
45,2:FALSE,2:FALSE,,0.55
46,2:FALSE,2:FALSE,,0.59
47,2:FALSE,1:TRUE,+,0.54
48,2:FALSE,1:TRUE,+,0.77
49,2:FALSE,2:FALSE,,0.61
50,2:FALSE,2:FALSE,,1
51,2:FALSE,2:FALSE,,0.72
52,2:FALSE,1:TRUE,+,0.79
53,2:FALSE,1:TRUE,+,0.54
54,2:FALSE,1:TRUE,+,0.79
55,2:FALSE,2:FALSE,,0.86
56,1:TRUE,1:TRUE,,0.92
57,1:TRUE,1:TRUE,,0.71
58,2:FALSE,1:TRUE,+,0.77
59,1:TRUE,1:TRUE,,0.89
60,2:FALSE,2:FALSE,,0.78
61,2:FALSE,2:FALSE,,1
62,2:FALSE,2:FALSE,,0.51
63,2:FALSE,1:TRUE,+,1
64,2:FALSE,1:TRUE,+,0.53
65,1:TRUE,1:TRUE,,0.71
66,2:FALSE,1:TRUE,+,0.66
67,2:FALSE,1:TRUE,+,0.54
68,1:TRUE,1:TRUE,,0.74
69,2:FALSE,2:FALSE,,0.98
70,2:FALSE,1:TRUE,+,0.82
71,2:FALSE,2:FALSE,,0.75
72,2:FALSE,2:FALSE,,0.55
73,1:TRUE,1:TRUE,,0.54
74,1:TRUE,2:FALSE,+,0.86
75,2:FALSE,2:FALSE,,0.7
76,1:TRUE,1:TRUE,,0.74
77,2:FALSE,2:FALSE,,0.988
78,2:FALSE,2:FALSE,,0.69
79,2:FALSE,1:TRUE,+,0.64
80,2:FALSE,2:FALSE,,0.84
81,1:TRUE,2:FALSE,+,0.97
82,1:TRUE,1:TRUE,,0.96
83,1:TRUE,1:TRUE,,0.83
84,1:TRUE,1:TRUE,,0.81
85,1:TRUE,1:TRUE,,0.89
86,2:FALSE,2:FALSE,,0.88
87,1:TRUE,1:TRUE,,0.65
88,2:FALSE,2:FALSE,,0.87
89,2:FALSE,2:FALSE,,0.91
90,1:TRUE,1:TRUE,,0.8
91,2:FALSE,1:TRUE,+,0.84
92,1:TRUE,1:TRUE,,0.94
93,2:FALSE,1:TRUE,+,0.68
94,2:FALSE,2:FALSE,,1
95,2:FALSE,1:TRUE,+,0.77
96,2:FALSE,2:FALSE,,0.59
97,2:FALSE,2:FALSE,,1
98,2:FALSE,1:TRUE,+,0.88
99,2:FALSE,2:FALSE,,1
100,2:FALSE,2:FALSE,,1
101,2:FALSE,2:FALSE,,1
102,2:FALSE,1:TRUE,+,0.62
103,2:FALSE,2:FALSE,,1
104,2:FALSE,2:FALSE,,1
105,2:FALSE,2:FALSE,,0.51
106,2:FALSE,1:TRUE,+,0.81
107,2:FALSE,2:FALSE,,1
108,1:TRUE,1:TRUE,,0.72
109,1:TRUE,1:TRUE,,0.66
110,1:TRUE,1:TRUE,,0.63
111,1:TRUE,1:TRUE,,0.74
112,1:TRUE,1:TRUE,,0.66
113,1:TRUE,1:TRUE,,0.68
114,2:FALSE,1:TRUE,+,0.81
115,2:FALSE,2:FALSE,,0.51
116,1:TRUE,1:TRUE,,0.77
117,2:FALSE,1:TRUE,+,0.86
118,2:FALSE,1:TRUE,+,0.91
119,2:FALSE,1:TRUE,+,0.75
120,2:FALSE,1:TRUE,+,0.89
121,2:FALSE,1:TRUE,+,0.84
122,1:TRUE,1:TRUE,,0.7
123,2:FALSE,1:TRUE,+,0.52
124,1:TRUE,1:TRUE,,0.92
125,1:TRUE,1:TRUE,,0.94
126,1:TRUE,1:TRUE,,0.9
127,2:FALSE,2:FALSE,,0.885
128,2:FALSE,2:FALSE,,0.914
129,2:FALSE,2:FALSE,,0.951
130,1:TRUE,2:FALSE,+,0.596
131,2:FALSE,2:FALSE,,0.983
132,2:FALSE,2:FALSE,,0.902
133,1:TRUE,1:TRUE,,0.84
134,2:FALSE,2:FALSE,,1
135,1:TRUE,1:TRUE,,0.83
136,1:TRUE,1:TRUE,,0.84
137,1:TRUE,1:TRUE,,0.79
138,1:TRUE,1:TRUE,,0.89
139,2:FALSE,2:FALSE,,0.51
140,1:TRUE,1:TRUE,,0.91
141,1:TRUE,1:TRUE,,0.89
142,1:TRUE,1:TRUE,,0.95
143,1:TRUE,1:TRUE,,0.82
144,1:TRUE,1:TRUE,,0.72
145,2:FALSE,2:FALSE,,0.99
146,1:TRUE,1:TRUE,,0.92
147,2:FALSE,1:TRUE,+,0.6
148,1:TRUE,1:TRUE,,0.97
149,2:FALSE,2:FALSE,,1
150,2:FALSE,2:FALSE,,1
151,2:FALSE,2:FALSE,,1
152,2:FALSE,2:FALSE,,0.99
153,2:FALSE,2:FALSE,,1
154,2:FALSE,1:TRUE,+,0.55
155,2:FALSE,2:FALSE,,1
156,2:FALSE,1:TRUE,+,0.67
157,2:FALSE,2:FALSE,,1
158,2:FALSE,2:FALSE,,0.86
159,2:FALSE,2:FALSE,,0.99
160,2:FALSE,2:FALSE,,1
161,2:FALSE,2:FALSE,,1
162,2:FALSE,2:FALSE,,1
163,2:FALSE,2:FALSE,,1
164,2:FALSE,2:FALSE,,1
165,2:FALSE,2:FALSE,,1
166,2:FALSE,2:FALSE,,1
167,1:TRUE,1:TRUE,,0.97
168,2:FALSE,2:FALSE,,0.54
169,1:TRUE,1:TRUE,,0.65
170,2:FALSE,2:FALSE,,1
171,2:FALSE,2:FALSE,,0.54
172,1:TRUE,1:TRUE,,0.91
173,2:FALSE,2:FALSE,,0.72
174,2:FALSE,2:FALSE,,0.89
175,2:FALSE,2:FALSE,,0.56
176,2:FALSE,2:FALSE,,1
177,2:FALSE,2:FALSE,,1
178,2:FALSE,2:FALSE,,0.92
179,2:FALSE,2:FALSE,,1
180,2:FALSE,2:FALSE,,0.73
181,2:FALSE,2:FALSE,,0.91
182,1:TRUE,2:FALSE,+,0.96
183,2:FALSE,2:FALSE,,0.786
184,2:FALSE,2:FALSE,,0.62
185,2:FALSE,2:FALSE,,1
186,2:FALSE,2:FALSE,,0.83
187,2:FALSE,2:FALSE,,0.88
188,2:FALSE,2:FALSE,,0.99
189,1:TRUE,1:TRUE,,0.56
190,2:FALSE,2:FALSE,,1
191,2:FALSE,2:FALSE,,0.984
192,1:TRUE,1:TRUE,,0.98
193,2:FALSE,2:FALSE,,1
194,2:FALSE,2:FALSE,,1
195,2:FALSE,2:FALSE,,1
196,1:TRUE,1:TRUE,,0.86
197,2:FALSE,2:FALSE,,0.99
198,2:FALSE,2:FALSE,,0.98
199,2:FALSE,2:FALSE,,1
200,2:FALSE,2:FALSE,,1
201,2:FALSE,2:FALSE,,1
202,2:FALSE,2:FALSE,,0.981
203,2:FALSE,2:FALSE,,1
204,1:TRUE,1:TRUE,,0.73
205,1:TRUE,1:TRUE,,0.91
206,2:FALSE,2:FALSE,,1
207,2:FALSE,2:FALSE,,0.98
208,2:FALSE,2:FALSE,,1
209,1:TRUE,1:TRUE,,0.74
210,1:TRUE,1:TRUE,,0.8
211,2:FALSE,2:FALSE,,0.64
212,2:FALSE,1:TRUE,+,0.79
213,2:FALSE,1:TRUE,+,0.52
214,2:FALSE,2:FALSE,,0.64
215,1:TRUE,1:TRUE,,0.84
216,1:TRUE,1:TRUE,,0.83
217,1:TRUE,2:FALSE,+,0.76
218,1:TRUE,1:TRUE,,0.8
219,1:TRUE,1:TRUE,,0.53
220,2:FALSE,2:FALSE,,0.9
221,2:FALSE,2:FALSE,,1
222,2:FALSE,2:FALSE,,1
223,2:FALSE,2:FALSE,,1
224,2:FALSE,2:FALSE,,1
225,2:FALSE,2:FALSE,,1
226,2:FALSE,2:FALSE,,1
227,2:FALSE,2:FALSE,,1
228,2:FALSE,2:FALSE,,1
229,2:FALSE,2:FALSE,,1
230,2:FALSE,2:FALSE,,1
231,2:FALSE,2:FALSE,,0.77
232,2:FALSE,2:FALSE,,1
233,1:TRUE,1:TRUE,,0.88
234,1:TRUE,1:TRUE,,0.65
235,2:FALSE,1:TRUE,+,0.53
236,1:TRUE,2:FALSE,+,0.52
237,2:FALSE,1:TRUE,+,0.51
238,2:FALSE,2:FALSE,,0.88
239,1:TRUE,1:TRUE,,0.9
240,1:TRUE,1:TRUE,,0.8
241,1:TRUE,1:TRUE,,0.78
242,1:TRUE,1:TRUE,,0.7
243,2:FALSE,2:FALSE,,0.87
244,2:FALSE,2:FALSE,,0.69
245,2:FALSE,2:FALSE,,0.71
246,2:FALSE,2:FALSE,,0.95
247,2:FALSE,2:FALSE,,1
248,2:FALSE,2:FALSE,,0.99
249,2:FALSE,2:FALSE,,0.61
250,2:FALSE,2:FALSE,,0.56
251,1:TRUE,1:TRUE,,0.92
252,2:FALSE,1:TRUE,+,0.6
253,2:FALSE,1:TRUE,+,0.79
254,1:TRUE,1:TRUE,,0.95
255,1:TRUE,1:TRUE,,0.95
256,1:TRUE,1:TRUE,,0.55
257,2:FALSE,1:TRUE,+,0.86
258,2:FALSE,1:TRUE,+,0.63
259,1:TRUE,1:TRUE,,0.59
260,1:TRUE,1:TRUE,,0.97
261,2:FALSE,2:FALSE,,0.53
262,2:FALSE,1:TRUE,+,0.61
263,1:TRUE,1:TRUE,,0.7
264,2:FALSE,1:TRUE,+,0.88
265,2:FALSE,1:TRUE,+,0.61
266,2:FALSE,2:FALSE,,0.57
267,2:FALSE,1:TRUE,+,0.67
268,2:FALSE,1:TRUE,+,0.55
269,2:FALSE,1:TRUE,+,0.6
270,1:TRUE,1:TRUE,,0.74
271,1:TRUE,1:TRUE,,0.86
272,1:TRUE,1:TRUE,,0.55
273,2:FALSE,2:FALSE,,0.86
274,2:FALSE,2:FALSE,,0.76
275,1:TRUE,1:TRUE,,0.96
276,2:FALSE,1:TRUE,+,0.535
277,1:TRUE,2:FALSE,+,0.57
278,1:TRUE,1:TRUE,,0.9
279,2:FALSE,2:FALSE,,1
280,2:FALSE,2:FALSE,,0.97
281,1:TRUE,1:TRUE,,0.97
282,2:FALSE,2:FALSE,,0.85
283,2:FALSE,2:FALSE,,0.63
284,1:TRUE,1:TRUE,,0.85
285,2:FALSE,2:FALSE,,1
286,1:TRUE,1:TRUE,,0.93
287,2:FALSE,2:FALSE,,0.57
288,2:FALSE,2:FALSE,,0.58
289,2:FALSE,2:FALSE,,0.998
290,1:TRUE,1:TRUE,,0.81
291,1:TRUE,1:TRUE,,0.92
292,1:TRUE,1:TRUE,,0.94
293,1:TRUE,1:TRUE,,0.63
294,2:FALSE,1:TRUE,+,0.91
295,2:FALSE,2:FALSE,,0.61
296,2:FALSE,2:FALSE,,0.52
297,1:TRUE,1:TRUE,,0.63
298,1:TRUE,1:TRUE,,0.98
299,1:TRUE,1:TRUE,,0.66
300,2:FALSE,1:TRUE,+,0.54
301,2:FALSE,2:FALSE,,0.54
302,2:FALSE,2:FALSE,,1
303,2:FALSE,2:FALSE,,1
304,2:FALSE,2:FALSE,,1
305,2:FALSE,2:FALSE,,1
306,2:FALSE,2:FALSE,,0.99
307,2:FALSE,2:FALSE,,0.99
308,2:FALSE,2:FALSE,,1
309,2:FALSE,2:FALSE,,1
310,2:FALSE,2:FALSE,,1
311,2:FALSE,2:FALSE,,0.99
312,2:FALSE,2:FALSE,,1
313,2:FALSE,2:FALSE,,0.99
314,1:TRUE,1:TRUE,,0.87
315,2:FALSE,2:FALSE,,0.998
316,2:FALSE,2:FALSE,,0.99
317,1:TRUE,2:FALSE,+,0.83
318,1:TRUE,1:TRUE,,0.66
319,2:FALSE,1:TRUE,+,0.62
320,1:TRUE,1:TRUE,,0.95
321,2:FALSE,2:FALSE,,0.99
322,2:FALSE,2:FALSE,,1
323,2:FALSE,2:FALSE,,1
324,2:FALSE,2:FALSE,,1
325,2:FALSE,2:FALSE,,0.978
326,2:FALSE,2:FALSE,,1
327,2:FALSE,2:FALSE,,1
328,2:FALSE,2:FALSE,,1
329,2:FALSE,2:FALSE,,1
330,1:TRUE,1:TRUE,,0.62
331,1:TRUE,2:FALSE,+,0.71
332,1:TRUE,1:TRUE,,0.76
333,1:TRUE,1:TRUE,,0.98
334,2:FALSE,2:FALSE,,1
335,2:FALSE,2:FALSE,,1
336,2:FALSE,2:FALSE,,1
337,2:FALSE,2:FALSE,,1
338,1:TRUE,1:TRUE,,0.94
339,2:FALSE,1:TRUE,+,0.59
340,2:FALSE,1:TRUE,+,0.6
341,2:FALSE,2:FALSE,,0.945
342,1:TRUE,1:TRUE,,0.8
343,2:FALSE,2:FALSE,,0.66
344,2:FALSE,1:TRUE,+,0.5
345,2:FALSE,2:FALSE,,0.74
346,2:FALSE,1:TRUE,+,0.5
347,2:FALSE,2:FALSE,,0.964
348,2:FALSE,2:FALSE,,0.945
349,2:FALSE,1:TRUE,+,0.93
350,1:TRUE,1:TRUE,,0.92
351,2:FALSE,2:FALSE,,0.58
352,1:TRUE,1:TRUE,,0.92
353,2:FALSE,2:FALSE,,0.71
354,1:TRUE,1:TRUE,,0.79
355,2:FALSE,1:TRUE,+,0.59
356,1:TRUE,1:TRUE,,0.95
357,1:TRUE,1:TRUE,,0.8
358,1:TRUE,1:TRUE,,0.9
359,2:FALSE,1:TRUE,+,0.5
360,2:FALSE,2:FALSE,,0.68
361,2:FALSE,1:TRUE,+,0.78
362,1:TRUE,1:TRUE,,0.98
363,1:TRUE,1:TRUE,,0.8
364,1:TRUE,1:TRUE,,0.98
365,2:FALSE,1:TRUE,+,0.86
366,1:TRUE,1:TRUE,,0.95
367,1:TRUE,1:TRUE,,0.92
368,1:TRUE,1:TRUE,,0.92
369,1:TRUE,1:TRUE,,0.79
370,2:FALSE,2:FALSE,,0.55
371,2:FALSE,1:TRUE,+,0.51
372,1:TRUE,1:TRUE,,0.98
373,2:FALSE,2:FALSE,,0.68
374,2:FALSE,2:FALSE,,0.97
375,2:FALSE,2:FALSE,,0.86
376,2:FALSE,2:FALSE,,0.99
377,2:FALSE,2:FALSE,,0.993
378,1:TRUE,1:TRUE,,0.56
379,2:FALSE,2:FALSE,,0.69
380,2:FALSE,2:FALSE,,1
381,1:TRUE,1:TRUE,,0.65
382,1:TRUE,1:TRUE,,0.69
383,1:TRUE,1:TRUE,,1
384,1:TRUE,2:FALSE,+,0.6
385,1:TRUE,1:TRUE,,0.99
386,2:FALSE,2:FALSE,,1
387,1:TRUE,1:TRUE,,0.98
388,1:TRUE,1:TRUE,,0.68
389,2:FALSE,2:FALSE,,0.969
390,1:TRUE,1:TRUE,,0.8
391,1:TRUE,1:TRUE,,0.54
392,1:TRUE,1:TRUE,,0.72
393,1:TRUE,1:TRUE,,0.6
394,1:TRUE,1:TRUE,,0.87
395,1:TRUE,1:TRUE,,0.74
396,2:FALSE,2:FALSE,,0.73
397,2:FALSE,1:TRUE,+,0.75
398,1:TRUE,2:FALSE,+,0.73
399,2:FALSE,1:TRUE,+,0.84
400,2:FALSE,2:FALSE,,0.75
401,1:TRUE,1:TRUE,,0.9
