inst#,actual,predicted,error,prediction
1,2:FALSE,2:FALSE,,0.61
2,2:FALSE,2:FALSE,,1
3,2:FALSE,2:FALSE,,0.997
4,1:TRUE,1:TRUE,,0.92
5,2:FALSE,2:FALSE,,0.976
6,2:FALSE,2:FALSE,,1
7,2:FALSE,2:FALSE,,0.952
8,2:FALSE,2:FALSE,,0.98
9,2:FALSE,1:TRUE,+,0.84
10,2:FALSE,2:FALSE,,1
11,1:TRUE,1:TRUE,,0.99
12,2:FALSE,1:TRUE,+,0.6
13,1:TRUE,1:TRUE,,0.78
14,2:FALSE,1:TRUE,+,0.73
15,1:TRUE,1:TRUE,,1
16,1:TRUE,1:TRUE,,0.86
17,1:TRUE,2:FALSE,+,0.71
18,1:TRUE,1:TRUE,,0.8
19,1:TRUE,1:TRUE,,1
20,1:TRUE,1:TRUE,,0.81
21,1:TRUE,1:TRUE,,0.87
22,1:TRUE,1:TRUE,,0.88
23,1:TRUE,1:TRUE,,0.87
24,1:TRUE,1:TRUE,,0.74
25,1:TRUE,1:TRUE,,0.94
26,2:FALSE,2:FALSE,,1
27,1:TRUE,1:TRUE,,0.84
28,1:TRUE,1:TRUE,,0.96
29,2:FALSE,2:FALSE,,1
30,2:FALSE,2:FALSE,,0.79
31,2:FALSE,1:TRUE,+,0.58
32,1:TRUE,1:TRUE,,0.73
33,2:FALSE,2:FALSE,,1
34,1:TRUE,2:FALSE,+,0.64
35,1:TRUE,1:TRUE,,0.77
36,2:FALSE,2:FALSE,,1
37,1:TRUE,1:TRUE,,0.81
38,1:TRUE,1:TRUE,,0.84
39,2:FALSE,1:TRUE,+,0.56
40,2:FALSE,1:TRUE,+,0.586
41,2:FALSE,2:FALSE,,0.55
42,1:TRUE,2:FALSE,+,0.582
43,2:FALSE,2:FALSE,,0.85
44,1:TRUE,1:TRUE,,0.9
45,2:FALSE,1:TRUE,+,0.529
46,1:TRUE,1:TRUE,,0.767
47,2:FALSE,1:TRUE,+,0.726
48,1:TRUE,1:TRUE,,0.805
49,2:FALSE,1:TRUE,+,0.647
50,1:TRUE,1:TRUE,,1
51,2:FALSE,1:TRUE,+,0.51
52,2:FALSE,2:FALSE,,0.9
53,1:TRUE,1:TRUE,,0.9
54,2:FALSE,2:FALSE,,0.81
55,1:TRUE,1:TRUE,,0.95
56,2:FALSE,1:TRUE,+,0.96
57,2:FALSE,1:TRUE,+,0.5
58,1:TRUE,1:TRUE,,0.83
59,2:FALSE,2:FALSE,,0.86
60,1:TRUE,1:TRUE,,0.8
61,2:FALSE,2:FALSE,,0.68
62,2:FALSE,1:TRUE,+,0.83
63,2:FALSE,2:FALSE,,0.69
64,1:TRUE,1:TRUE,,0.78
65,1:TRUE,1:TRUE,,0.99
66,1:TRUE,1:TRUE,,0.82
67,1:TRUE,1:TRUE,,0.97
68,1:TRUE,1:TRUE,,1
69,2:FALSE,1:TRUE,+,0.9
70,1:TRUE,1:TRUE,,0.77
71,2:FALSE,1:TRUE,+,0.63
72,2:FALSE,2:FALSE,,0.82
73,1:TRUE,1:TRUE,,0.59
74,1:TRUE,1:TRUE,,1
75,1:TRUE,1:TRUE,,0.99
76,2:FALSE,2:FALSE,,0.51
77,1:TRUE,1:TRUE,,0.73
78,1:TRUE,1:TRUE,,0.69
79,1:TRUE,1:TRUE,,0.72
80,1:TRUE,1:TRUE,,0.97
81,1:TRUE,1:TRUE,,0.77
82,2:FALSE,2:FALSE,,0.83
83,1:TRUE,1:TRUE,,0.52
84,1:TRUE,1:TRUE,,0.86
85,1:TRUE,1:TRUE,,0.94
86,2:FALSE,2:FALSE,,0.95
87,2:FALSE,2:FALSE,,0.8
88,2:FALSE,1:TRUE,+,0.74
89,2:FALSE,1:TRUE,+,0.58
90,2:FALSE,2:FALSE,,0.55
91,2:FALSE,2:FALSE,,1
92,2:FALSE,2:FALSE,,1
93,2:FALSE,2:FALSE,,1
94,1:TRUE,1:TRUE,,0.52
95,2:FALSE,2:FALSE,,1
96,2:FALSE,2:FALSE,,1
97,2:FALSE,2:FALSE,,0.99
98,2:FALSE,2:FALSE,,1
99,2:FALSE,1:TRUE,+,0.93
100,1:TRUE,2:FALSE,+,0.73
101,2:FALSE,2:FALSE,,1
102,2:FALSE,2:FALSE,,1
103,2:FALSE,2:FALSE,,1
104,2:FALSE,2:FALSE,,1
105,1:TRUE,1:TRUE,,0.86
106,2:FALSE,2:FALSE,,0.54
107,1:TRUE,1:TRUE,,0.61
108,1:TRUE,1:TRUE,,0.613
109,1:TRUE,1:TRUE,,0.9
110,1:TRUE,1:TRUE,,0.95
111,1:TRUE,1:TRUE,,0.583
112,1:TRUE,1:TRUE,,0.956
113,2:FALSE,2:FALSE,,0.58
114,2:FALSE,2:FALSE,,1
115,2:FALSE,2:FALSE,,0.7
116,2:FALSE,2:FALSE,,0.519
117,1:TRUE,2:FALSE,+,0.7
118,2:FALSE,1:TRUE,+,0.91
119,1:TRUE,1:TRUE,,0.98
120,1:TRUE,1:TRUE,,0.81
121,1:TRUE,2:FALSE,+,0.6
122,2:FALSE,1:TRUE,+,0.67
123,1:TRUE,1:TRUE,,0.99
124,2:FALSE,1:TRUE,+,0.77
125,1:TRUE,1:TRUE,,0.77
126,1:TRUE,1:TRUE,,0.72
127,1:TRUE,1:TRUE,,0.96
128,2:FALSE,2:FALSE,,0.9
129,1:TRUE,1:TRUE,,0.81
130,1:TRUE,1:TRUE,,0.64
131,1:TRUE,1:TRUE,,0.84
132,1:TRUE,1:TRUE,,0.75
133,1:TRUE,1:TRUE,,0.98
134,2:FALSE,2:FALSE,,1
135,2:FALSE,2:FALSE,,1
136,2:FALSE,2:FALSE,,1
137,2:FALSE,2:FALSE,,0.99
138,2:FALSE,2:FALSE,,0.99
139,2:FALSE,1:TRUE,+,0.82
140,2:FALSE,2:FALSE,,0.74
141,2:FALSE,2:FALSE,,1
142,2:FALSE,2:FALSE,,0.53
143,2:FALSE,2:FALSE,,0.51
144,1:TRUE,1:TRUE,,0.5
145,2:FALSE,2:FALSE,,1
146,2:FALSE,1:TRUE,+,0.53
147,2:FALSE,2:FALSE,,0.68
148,2:FALSE,2:FALSE,,0.99
149,2:FALSE,1:TRUE,+,0.79
150,2:FALSE,1:TRUE,+,0.83
151,1:TRUE,1:TRUE,,0.91
152,1:TRUE,1:TRUE,,0.99
153,2:FALSE,2:FALSE,,1
154,1:TRUE,1:TRUE,,1
155,2:FALSE,1:TRUE,+,0.82
156,1:TRUE,1:TRUE,,1
157,2:FALSE,1:TRUE,+,0.52
158,2:FALSE,2:FALSE,,0.82
159,2:FALSE,2:FALSE,,0.67
160,2:FALSE,2:FALSE,,1
161,2:FALSE,2:FALSE,,0.67
162,2:FALSE,2:FALSE,,0.99
163,2:FALSE,2:FALSE,,1
164,1:TRUE,1:TRUE,,0.59
165,1:TRUE,1:TRUE,,0.98
166,2:FALSE,2:FALSE,,0.64
167,1:TRUE,1:TRUE,,0.67
168,2:FALSE,1:TRUE,+,0.69
169,2:FALSE,2:FALSE,,0.87
170,2:FALSE,2:FALSE,,0.81
171,2:FALSE,1:TRUE,+,0.74
172,2:FALSE,1:TRUE,+,0.75
173,2:FALSE,2:FALSE,,0.65
174,2:FALSE,2:FALSE,,1
175,2:FALSE,2:FALSE,,0.996
176,2:FALSE,2:FALSE,,1
177,2:FALSE,2:FALSE,,1
178,2:FALSE,2:FALSE,,0.72
179,2:FALSE,2:FALSE,,0.9
180,2:FALSE,2:FALSE,,1
181,2:FALSE,2:FALSE,,0.52
182,2:FALSE,2:FALSE,,1
183,2:FALSE,2:FALSE,,0.66
184,2:FALSE,2:FALSE,,1
185,1:TRUE,2:FALSE,+,0.85
186,2:FALSE,1:TRUE,+,0.81
187,2:FALSE,2:FALSE,,1
188,2:FALSE,2:FALSE,,1
