inst#,actual,predicted,error,prediction
1,2:FALSE,2:FALSE,,1
2,2:FALSE,2:FALSE,,1
3,2:FALSE,2:FALSE,,1
4,2:FALSE,2:FALSE,,1
5,2:FALSE,2:FALSE,,1
6,2:FALSE,2:FALSE,,1
7,2:FALSE,2:FALSE,,1
8,2:FALSE,2:FALSE,,1
9,2:FALSE,2:FALSE,,1
10,2:FALSE,2:FALSE,,1
11,2:FALSE,2:FALSE,,1
12,2:FALSE,2:FALSE,,1
13,2:FALSE,2:FALSE,,1
14,2:FALSE,2:FALSE,,1
15,2:FALSE,2:FALSE,,1
16,2:FALSE,2:FALSE,,1
17,2:FALSE,2:FALSE,,0.52
18,2:FALSE,2:FALSE,,1
19,2:FALSE,2:FALSE,,1
20,1:TRUE,1:TRUE,,0.95
21,1:TRUE,1:TRUE,,0.66
22,1:TRUE,1:TRUE,,0.65
23,2:FALSE,2:FALSE,,1
24,1:TRUE,1:TRUE,,0.64
25,2:FALSE,2:FALSE,,0.78
26,2:FALSE,1:TRUE,+,0.5
27,1:TRUE,1:TRUE,,0.97
28,2:FALSE,1:TRUE,+,0.63
29,2:FALSE,2:FALSE,,1
30,1:TRUE,1:TRUE,,0.5
31,1:TRUE,1:TRUE,,0.94
32,1:TRUE,1:TRUE,,0.98
33,2:FALSE,2:FALSE,,0.69
34,1:TRUE,1:TRUE,,0.73
35,2:FALSE,2:FALSE,,0.75
36,2:FALSE,2:FALSE,,1
37,1:TRUE,2:FALSE,+,0.89
38,1:TRUE,1:TRUE,,0.93
39,2:FALSE,2:FALSE,,1
40,2:FALSE,2:FALSE,,1
41,2:FALSE,2:FALSE,,0.54
42,2:FALSE,1:TRUE,+,0.75
43,1:TRUE,1:TRUE,,0.89
44,1:TRUE,1:TRUE,,0.72
45,1:TRUE,1:TRUE,,0.86
46,1:TRUE,2:FALSE,+,0.71
47,2:FALSE,1:TRUE,+,0.57
48,1:TRUE,1:TRUE,,0.86
49,2:FALSE,2:FALSE,,0.57
50,2:FALSE,1:TRUE,+,0.59
51,1:TRUE,1:TRUE,,0.69
52,1:TRUE,1:TRUE,,0.7
53,1:TRUE,1:TRUE,,0.95
54,2:FALSE,1:TRUE,+,0.81
55,2:FALSE,2:FALSE,,1
56,2:FALSE,2:FALSE,,1
57,2:FALSE,2:FALSE,,1
58,1:TRUE,1:TRUE,,0.68
59,2:FALSE,2:FALSE,,1
60,2:FALSE,2:FALSE,,1
61,1:TRUE,1:TRUE,,0.92
62,2:FALSE,2:FALSE,,0.8
63,2:FALSE,2:FALSE,,1
64,1:TRUE,1:TRUE,,0.51
65,2:FALSE,2:FALSE,,0.59
66,1:TRUE,1:TRUE,,0.55
67,2:FALSE,2:FALSE,,0.67
68,2:FALSE,1:TRUE,+,0.8
69,1:TRUE,1:TRUE,,0.84
70,2:FALSE,1:TRUE,+,0.62
71,1:TRUE,1:TRUE,,0.89
72,2:FALSE,2:FALSE,,0.54
73,2:FALSE,2:FALSE,,0.81
74,2:FALSE,2:FALSE,,0.98
75,1:TRUE,2:FALSE,+,0.77
76,1:TRUE,1:TRUE,,0.65
77,1:TRUE,1:TRUE,,0.98
78,1:TRUE,1:TRUE,,0.99
79,2:FALSE,1:TRUE,+,0.68
80,2:FALSE,2:FALSE,,1
81,1:TRUE,1:TRUE,,0.9
82,2:FALSE,2:FALSE,,0.81
83,2:FALSE,2:FALSE,,0.99
84,1:TRUE,1:TRUE,,0.84
85,1:TRUE,1:TRUE,,0.95
86,1:TRUE,1:TRUE,,0.9
87,1:TRUE,1:TRUE,,0.88
88,2:FALSE,2:FALSE,,1
89,2:FALSE,2:FALSE,,1
90,2:FALSE,2:FALSE,,0.91
91,2:FALSE,2:FALSE,,1
92,2:FALSE,2:FALSE,,1
93,1:TRUE,1:TRUE,,0.68
94,1:TRUE,1:TRUE,,0.75
95,1:TRUE,1:TRUE,,0.64
96,2:FALSE,2:FALSE,,0.66
97,1:TRUE,1:TRUE,,0.7
98,2:FALSE,2:FALSE,,0.62
99,1:TRUE,1:TRUE,,0.59
100,1:TRUE,1:TRUE,,0.54
101,1:TRUE,1:TRUE,,0.98
102,2:FALSE,1:TRUE,+,0.67
103,1:TRUE,1:TRUE,,1
104,1:TRUE,1:TRUE,,0.62
105,2:FALSE,1:TRUE,+,0.74
106,2:FALSE,1:TRUE,+,0.61
107,1:TRUE,1:TRUE,,0.99
108,2:FALSE,2:FALSE,,0.53
109,1:TRUE,1:TRUE,,0.84
110,1:TRUE,1:TRUE,,0.74
111,1:TRUE,1:TRUE,,0.75
112,2:FALSE,2:FALSE,,0.74
113,2:FALSE,2:FALSE,,0.75
