inst#,actual,predicted,error,prediction
1,2:FALSE,1:TRUE,+,0.91
2,1:TRUE,2:FALSE,+,0.51
3,1:TRUE,1:TRUE,,0.55
4,1:TRUE,1:TRUE,,0.79
5,1:TRUE,1:TRUE,,0.55
6,2:FALSE,2:FALSE,,1
7,1:TRUE,1:TRUE,,0.53
8,2:FALSE,2:FALSE,,0.54
9,2:FALSE,1:TRUE,+,0.96
10,1:TRUE,2:FALSE,+,0.79
11,2:FALSE,1:TRUE,+,0.94
12,2:FALSE,2:FALSE,,0.54
13,1:TRUE,1:TRUE,,0.77
14,1:TRUE,1:TRUE,,0.82
15,1:TRUE,1:TRUE,,0.73
16,1:TRUE,1:TRUE,,0.63
17,1:TRUE,1:TRUE,,0.57
18,1:TRUE,2:FALSE,+,0.59
19,2:FALSE,2:FALSE,,0.52
20,2:FALSE,1:TRUE,+,0.68
21,1:TRUE,2:FALSE,+,0.65
22,2:FALSE,2:FALSE,,0.79
23,2:FALSE,1:TRUE,+,0.81
24,1:TRUE,1:TRUE,,0.94
25,2:FALSE,1:TRUE,+,0.56
26,1:TRUE,1:TRUE,,0.99
27,2:FALSE,1:TRUE,+,0.76
28,2:FALSE,2:FALSE,,0.56
29,2:FALSE,2:FALSE,,0.59
30,1:TRUE,1:TRUE,,0.99
31,2:FALSE,2:FALSE,,0.58
32,1:TRUE,1:TRUE,,0.94
33,1:TRUE,1:TRUE,,0.74
34,1:TRUE,2:FALSE,+,0.65
35,2:FALSE,1:TRUE,+,0.57
36,1:TRUE,1:TRUE,,0.69
37,1:TRUE,1:TRUE,,0.79
38,2:FALSE,2:FALSE,,0.73
39,1:TRUE,1:TRUE,,0.85
40,2:FALSE,2:FALSE,,0.84
41,1:TRUE,1:TRUE,,0.91
42,1:TRUE,1:TRUE,,0.64
43,2:FALSE,1:TRUE,+,0.66
44,1:TRUE,1:TRUE,,1
45,2:FALSE,1:TRUE,+,0.78
46,2:FALSE,1:TRUE,+,0.85
47,1:TRUE,1:TRUE,,0.93
48,2:FALSE,1:TRUE,+,0.82
49,1:TRUE,1:TRUE,,1
50,1:TRUE,1:TRUE,,0.98
51,1:TRUE,1:TRUE,,1
52,2:FALSE,2:FALSE,,0.52
53,1:TRUE,1:TRUE,,1
54,2:FALSE,1:TRUE,+,0.64
55,1:TRUE,1:TRUE,,0.97
56,2:FALSE,1:TRUE,+,0.53
57,1:TRUE,1:TRUE,,0.91
58,2:FALSE,1:TRUE,+,0.81
59,1:TRUE,1:TRUE,,0.98
60,1:TRUE,1:TRUE,,0.94
61,1:TRUE,1:TRUE,,0.84
62,2:FALSE,2:FALSE,,0.78
63,1:TRUE,1:TRUE,,0.75
64,1:TRUE,1:TRUE,,0.83
65,1:TRUE,1:TRUE,,0.99
66,2:FALSE,1:TRUE,+,0.62
67,1:TRUE,1:TRUE,,0.93
68,1:TRUE,1:TRUE,,0.62
69,1:TRUE,1:TRUE,,0.98
70,2:FALSE,1:TRUE,+,0.61
71,2:FALSE,2:FALSE,,0.65
72,1:TRUE,1:TRUE,,0.9
73,2:FALSE,1:TRUE,+,0.75
74,1:TRUE,1:TRUE,,0.52
75,1:TRUE,2:FALSE,+,0.63
76,1:TRUE,1:TRUE,,0.75
77,2:FALSE,1:TRUE,+,0.7
78,2:FALSE,2:FALSE,,0.7
79,2:FALSE,2:FALSE,,0.7
80,2:FALSE,1:TRUE,+,0.56
81,2:FALSE,1:TRUE,+,0.687
82,1:TRUE,1:TRUE,,0.75
83,1:TRUE,1:TRUE,,0.83
84,1:TRUE,1:TRUE,,0.8
85,2:FALSE,1:TRUE,+,0.53
86,1:TRUE,1:TRUE,,0.9
87,1:TRUE,1:TRUE,,0.54
88,2:FALSE,1:TRUE,+,0.72
89,2:FALSE,1:TRUE,+,0.57
90,1:TRUE,1:TRUE,,0.75
91,1:TRUE,1:TRUE,,0.85
92,1:TRUE,1:TRUE,,0.83
93,2:FALSE,2:FALSE,,0.58
94,2:FALSE,1:TRUE,+,0.5
95,2:FALSE,2:FALSE,,1
96,2:FALSE,2:FALSE,,0.995
97,2:FALSE,2:FALSE,,0.972
98,2:FALSE,2:FALSE,,1
99,2:FALSE,2:FALSE,,1
100,2:FALSE,2:FALSE,,0.996
101,2:FALSE,2:FALSE,,1
102,2:FALSE,2:FALSE,,0.998
103,2:FALSE,2:FALSE,,0.998
104,2:FALSE,2:FALSE,,0.998
105,2:FALSE,2:FALSE,,1
106,2:FALSE,2:FALSE,,0.991
107,2:FALSE,2:FALSE,,1
108,2:FALSE,2:FALSE,,1
109,2:FALSE,2:FALSE,,0.99
110,2:FALSE,2:FALSE,,1
111,2:FALSE,2:FALSE,,0.991
112,2:FALSE,2:FALSE,,1
113,2:FALSE,2:FALSE,,1
114,2:FALSE,2:FALSE,,1
115,2:FALSE,2:FALSE,,1
116,2:FALSE,2:FALSE,,1
117,2:FALSE,2:FALSE,,1
118,2:FALSE,2:FALSE,,1
