inst#,actual,predicted,error,prediction
1,1:TRUE,1:TRUE,,0.87
2,1:TRUE,1:TRUE,,0.77
3,1:TRUE,2:FALSE,+,0.61
4,1:TRUE,1:TRUE,,0.95
5,1:TRUE,1:TRUE,,0.94
6,1:TRUE,2:FALSE,+,0.54
7,1:TRUE,2:FALSE,+,0.53
8,1:TRUE,1:TRUE,,0.81
9,2:FALSE,1:TRUE,+,0.53
10,1:TRUE,1:TRUE,,1
11,1:TRUE,1:TRUE,,0.97
12,1:TRUE,1:TRUE,,0.84
13,1:TRUE,1:TRUE,,0.75
14,2:FALSE,2:FALSE,,1
15,1:TRUE,1:TRUE,,0.78
16,2:FALSE,2:FALSE,,1
17,1:TRUE,1:TRUE,,0.89
18,2:FALSE,2:FALSE,,1
19,1:TRUE,2:FALSE,+,0.57
20,2:FALSE,2:FALSE,,1
21,1:TRUE,1:TRUE,,0.95
22,1:TRUE,2:FALSE,+,0.65
23,1:TRUE,1:TRUE,,0.89
24,1:TRUE,1:TRUE,,0.65
25,2:FALSE,2:FALSE,,1
26,2:FALSE,2:FALSE,,1
27,2:FALSE,2:FALSE,,1
28,2:FALSE,2:FALSE,,1
29,2:FALSE,2:FALSE,,0.99
30,2:FALSE,2:FALSE,,1
31,1:TRUE,1:TRUE,,0.98
32,2:FALSE,2:FALSE,,0.996
33,1:TRUE,1:TRUE,,0.9
34,1:TRUE,1:TRUE,,0.726
35,1:TRUE,2:FALSE,+,0.62
36,1:TRUE,1:TRUE,,0.87
37,1:TRUE,2:FALSE,+,0.89
38,1:TRUE,2:FALSE,+,0.89
39,1:TRUE,1:TRUE,,0.948
40,1:TRUE,1:TRUE,,0.836
41,2:FALSE,2:FALSE,,0.978
42,1:TRUE,1:TRUE,,0.533
43,1:TRUE,1:TRUE,,0.68
44,1:TRUE,1:TRUE,,0.83
45,2:FALSE,2:FALSE,,0.893
46,1:TRUE,1:TRUE,,0.93
47,1:TRUE,1:TRUE,,0.63
48,1:TRUE,1:TRUE,,0.95
49,2:FALSE,2:FALSE,,1
50,1:TRUE,1:TRUE,,0.68
