inst#,actual,predicted,error,prediction
1,2:FALSE,2:FALSE,,0.986
2,2:FALSE,2:FALSE,,1
3,2:FALSE,2:FALSE,,0.999
4,2:FALSE,2:FALSE,,0.99
5,2:FALSE,2:FALSE,,1
6,2:FALSE,2:FALSE,,1
7,1:TRUE,1:TRUE,,0.87
8,1:TRUE,1:TRUE,,0.53
9,1:TRUE,1:TRUE,,0.6
10,1:TRUE,1:TRUE,,0.79
11,2:FALSE,2:FALSE,,0.8
12,2:FALSE,2:FALSE,,0.54
13,2:FALSE,1:TRUE,+,0.68
14,2:FALSE,2:FALSE,,0.7
15,1:TRUE,1:TRUE,,0.89
16,2:FALSE,2:FALSE,,0.59
17,1:TRUE,2:FALSE,+,0.68
18,1:TRUE,1:TRUE,,0.71
19,2:FALSE,1:TRUE,+,0.54
20,2:FALSE,1:TRUE,+,0.5
21,1:TRUE,1:TRUE,,0.68
22,2:FALSE,2:FALSE,,0.55
23,2:FALSE,2:FALSE,,0.99
24,2:FALSE,2:FALSE,,1
25,1:TRUE,1:TRUE,,0.66
26,2:FALSE,2:FALSE,,0.87
27,2:FALSE,2:FALSE,,0.99
28,2:FALSE,2:FALSE,,1
29,2:FALSE,2:FALSE,,1
30,1:TRUE,1:TRUE,,0.67
31,2:FALSE,2:FALSE,,1
32,2:FALSE,2:FALSE,,1
33,2:FALSE,2:FALSE,,0.58
34,2:FALSE,2:FALSE,,1
35,1:TRUE,1:TRUE,,0.68
36,2:FALSE,2:FALSE,,1
37,2:FALSE,2:FALSE,,0.99
38,2:FALSE,2:FALSE,,1
39,2:FALSE,2:FALSE,,1
40,2:FALSE,2:FALSE,,1
41,2:FALSE,2:FALSE,,1
42,2:FALSE,2:FALSE,,1
43,2:FALSE,2:FALSE,,1
44,2:FALSE,2:FALSE,,1
45,2:FALSE,2:FALSE,,1
46,2:FALSE,2:FALSE,,1
47,2:FALSE,2:FALSE,,1
48,2:FALSE,2:FALSE,,1
49,2:FALSE,2:FALSE,,1
50,2:FALSE,2:FALSE,,1
51,2:FALSE,2:FALSE,,1
52,1:TRUE,1:TRUE,,0.91
53,2:FALSE,2:FALSE,,1
54,1:TRUE,2:FALSE,+,0.96
55,2:FALSE,2:FALSE,,1
56,1:TRUE,2:FALSE,+,0.67
57,1:TRUE,2:FALSE,+,0.6
58,2:FALSE,2:FALSE,,1
59,1:TRUE,1:TRUE,,0.59
60,2:FALSE,2:FALSE,,0.88
61,2:FALSE,2:FALSE,,1
62,2:FALSE,2:FALSE,,1
63,1:TRUE,1:TRUE,,0.52
64,2:FALSE,2:FALSE,,0.83
65,2:FALSE,2:FALSE,,0.96
66,2:FALSE,2:FALSE,,0.99
67,2:FALSE,2:FALSE,,1
68,2:FALSE,2:FALSE,,0.96
69,2:FALSE,2:FALSE,,0.9
70,2:FALSE,2:FALSE,,0.96
71,2:FALSE,2:FALSE,,0.72
72,2:FALSE,2:FALSE,,0.74
73,2:FALSE,2:FALSE,,0.93
74,2:FALSE,2:FALSE,,0.95
75,1:TRUE,1:TRUE,,0.98
76,1:TRUE,1:TRUE,,0.54
77,2:FALSE,2:FALSE,,0.75
78,2:FALSE,2:FALSE,,0.98
79,2:FALSE,2:FALSE,,0.85
80,2:FALSE,2:FALSE,,0.9
81,2:FALSE,2:FALSE,,0.67
82,1:TRUE,1:TRUE,,0.95
83,2:FALSE,2:FALSE,,0.99
84,2:FALSE,2:FALSE,,0.92
85,2:FALSE,1:TRUE,+,0.83
86,1:TRUE,1:TRUE,,0.59
87,2:FALSE,1:TRUE,+,0.63
88,2:FALSE,1:TRUE,+,0.56
89,2:FALSE,1:TRUE,+,0.87
90,2:FALSE,1:TRUE,+,0.56
91,2:FALSE,1:TRUE,+,0.54
92,1:TRUE,1:TRUE,,0.84
93,2:FALSE,1:TRUE,+,0.62
94,2:FALSE,1:TRUE,+,0.74
95,2:FALSE,2:FALSE,,0.76
96,2:FALSE,2:FALSE,,0.95
97,2:FALSE,2:FALSE,,1
98,1:TRUE,1:TRUE,,0.52
99,1:TRUE,1:TRUE,,0.99
100,1:TRUE,1:TRUE,,0.87
101,2:FALSE,2:FALSE,,0.52
102,1:TRUE,1:TRUE,,0.99
103,1:TRUE,1:TRUE,,0.76
104,1:TRUE,2:FALSE,+,0.7
105,2:FALSE,1:TRUE,+,0.8
106,2:FALSE,2:FALSE,,0.69
107,2:FALSE,1:TRUE,+,0.63
108,2:FALSE,2:FALSE,,0.9
109,1:TRUE,1:TRUE,,0.54
110,1:TRUE,1:TRUE,,0.76
111,2:FALSE,2:FALSE,,0.88
112,2:FALSE,1:TRUE,+,0.67
113,2:FALSE,2:FALSE,,1
114,2:FALSE,2:FALSE,,0.79
115,2:FALSE,2:FALSE,,0.83
116,2:FALSE,2:FALSE,,0.63
117,1:TRUE,1:TRUE,,1
118,1:TRUE,1:TRUE,,1
119,1:TRUE,1:TRUE,,1
120,1:TRUE,1:TRUE,,1
121,2:FALSE,2:FALSE,,0.993
122,2:FALSE,2:FALSE,,1
123,2:FALSE,2:FALSE,,0.998
124,2:FALSE,2:FALSE,,0.998
125,2:FALSE,2:FALSE,,1
126,1:TRUE,1:TRUE,,0.97
127,2:FALSE,1:TRUE,+,0.52
128,1:TRUE,1:TRUE,,0.83
129,1:TRUE,1:TRUE,,0.89
130,1:TRUE,1:TRUE,,0.95
131,1:TRUE,1:TRUE,,0.82
132,1:TRUE,1:TRUE,,0.9
133,2:FALSE,2:FALSE,,1
134,1:TRUE,1:TRUE,,0.92
135,2:FALSE,2:FALSE,,0.989
136,2:FALSE,2:FALSE,,1
137,2:FALSE,2:FALSE,,1
138,2:FALSE,2:FALSE,,1
139,1:TRUE,1:TRUE,,0.7
140,2:FALSE,2:FALSE,,0.79
141,2:FALSE,2:FALSE,,0.64
142,1:TRUE,1:TRUE,,0.73
143,1:TRUE,1:TRUE,,0.52
144,2:FALSE,2:FALSE,,0.62
145,2:FALSE,1:TRUE,+,0.59
146,2:FALSE,2:FALSE,,0.83
147,1:TRUE,1:TRUE,,0.64
148,2:FALSE,2:FALSE,,1
149,2:FALSE,2:FALSE,,0.54
150,1:TRUE,1:TRUE,,0.85
151,2:FALSE,2:FALSE,,0.62
152,1:TRUE,1:TRUE,,0.75
153,1:TRUE,1:TRUE,,0.62
154,2:FALSE,2:FALSE,,0.76
155,2:FALSE,2:FALSE,,0.71
156,1:TRUE,1:TRUE,,0.73
157,2:FALSE,2:FALSE,,0.55
158,1:TRUE,1:TRUE,,0.7
159,2:FALSE,2:FALSE,,0.95
160,1:TRUE,2:FALSE,+,0.92
161,1:TRUE,1:TRUE,,0.9
162,2:FALSE,2:FALSE,,1
163,2:FALSE,2:FALSE,,1
164,1:TRUE,1:TRUE,,0.96
165,1:TRUE,1:TRUE,,0.81
166,2:FALSE,2:FALSE,,0.57
167,1:TRUE,1:TRUE,,0.68
168,2:FALSE,2:FALSE,,1
169,2:FALSE,1:TRUE,+,0.55
170,2:FALSE,2:FALSE,,1
171,2:FALSE,2:FALSE,,1
172,2:FALSE,2:FALSE,,1
173,2:FALSE,2:FALSE,,1
174,1:TRUE,1:TRUE,,0.94
175,2:FALSE,2:FALSE,,1
176,2:FALSE,2:FALSE,,1
177,1:TRUE,1:TRUE,,0.9
178,2:FALSE,1:TRUE,+,0.66
179,2:FALSE,2:FALSE,,1
180,2:FALSE,2:FALSE,,1
181,2:FALSE,2:FALSE,,1
182,2:FALSE,2:FALSE,,0.85
183,1:TRUE,1:TRUE,,0.78
184,2:FALSE,2:FALSE,,1
185,2:FALSE,2:FALSE,,1
186,1:TRUE,1:TRUE,,0.94
187,2:FALSE,2:FALSE,,1
188,2:FALSE,2:FALSE,,0.74
189,1:TRUE,1:TRUE,,1
190,1:TRUE,1:TRUE,,0.94
191,1:TRUE,2:FALSE,+,0.53
192,2:FALSE,2:FALSE,,0.73
193,1:TRUE,1:TRUE,,0.53
194,1:TRUE,1:TRUE,,0.68
195,1:TRUE,1:TRUE,,0.88
196,1:TRUE,1:TRUE,,0.76
197,2:FALSE,2:FALSE,,0.61
198,1:TRUE,1:TRUE,,0.91
199,2:FALSE,1:TRUE,+,0.65
200,1:TRUE,1:TRUE,,0.74
201,2:FALSE,2:FALSE,,1
202,1:TRUE,1:TRUE,,0.75
203,2:FALSE,2:FALSE,,1
204,2:FALSE,2:FALSE,,1
205,1:TRUE,2:FALSE,+,0.64
206,2:FALSE,2:FALSE,,1
207,1:TRUE,1:TRUE,,0.79
208,2:FALSE,2:FALSE,,1
209,1:TRUE,1:TRUE,,0.74
210,2:FALSE,2:FALSE,,0.89
211,2:FALSE,1:TRUE,+,0.77
212,2:FALSE,2:FALSE,,1
213,2:FALSE,2:FALSE,,1
214,2:FALSE,1:TRUE,+,0.62
215,1:TRUE,1:TRUE,,0.69
216,2:FALSE,2:FALSE,,1
217,2:FALSE,2:FALSE,,1
218,1:TRUE,1:TRUE,,0.53
219,2:FALSE,2:FALSE,,0.59
220,2:FALSE,2:FALSE,,1
221,1:TRUE,2:FALSE,+,0.82
222,2:FALSE,2:FALSE,,0.8
223,2:FALSE,2:FALSE,,0.62
224,2:FALSE,2:FALSE,,0.62
225,2:FALSE,2:FALSE,,0.97
226,2:FALSE,2:FALSE,,0.78
227,1:TRUE,2:FALSE,+,0.68
228,2:FALSE,2:FALSE,,0.78
229,2:FALSE,2:FALSE,,0.61
230,1:TRUE,2:FALSE,+,0.57
231,2:FALSE,2:FALSE,,0.8
232,1:TRUE,1:TRUE,,1
233,1:TRUE,1:TRUE,,0.5
234,2:FALSE,2:FALSE,,0.99
235,2:FALSE,2:FALSE,,0.95
236,2:FALSE,1:TRUE,+,0.61
237,2:FALSE,1:TRUE,+,0.6
238,1:TRUE,1:TRUE,,0.93
239,2:FALSE,2:FALSE,,0.98
240,1:TRUE,1:TRUE,,0.53
241,2:FALSE,2:FALSE,,0.94
242,1:TRUE,2:FALSE,+,0.8
243,2:FALSE,2:FALSE,,0.93
244,1:TRUE,1:TRUE,,0.97
245,1:TRUE,1:TRUE,,0.65
246,1:TRUE,1:TRUE,,0.54
247,1:TRUE,2:FALSE,+,0.59
248,1:TRUE,2:FALSE,+,0.51
249,2:FALSE,2:FALSE,,0.56
250,2:FALSE,1:TRUE,+,0.8
251,2:FALSE,2:FALSE,,0.98
252,1:TRUE,1:TRUE,,0.73
253,1:TRUE,2:FALSE,+,0.93
254,1:TRUE,1:TRUE,,0.98
255,1:TRUE,2:FALSE,+,0.98
256,2:FALSE,2:FALSE,,0.9
257,1:TRUE,1:TRUE,,0.54
258,1:TRUE,1:TRUE,,0.76
259,2:FALSE,2:FALSE,,1
260,2:FALSE,2:FALSE,,1
261,1:TRUE,1:TRUE,,0.61
262,2:FALSE,2:FALSE,,0.6
263,2:FALSE,2:FALSE,,1
264,2:FALSE,2:FALSE,,0.99
265,2:FALSE,2:FALSE,,1
266,1:TRUE,2:FALSE,+,0.65
267,2:FALSE,2:FALSE,,0.76
268,1:TRUE,1:TRUE,,0.76
269,1:TRUE,1:TRUE,,0.76
270,2:FALSE,2:FALSE,,0.96
271,1:TRUE,1:TRUE,,0.77
272,1:TRUE,1:TRUE,,0.72
273,2:FALSE,2:FALSE,,0.62
274,2:FALSE,1:TRUE,+,0.59
275,1:TRUE,1:TRUE,,0.64
276,2:FALSE,2:FALSE,,1
277,2:FALSE,2:FALSE,,1
278,2:FALSE,2:FALSE,,1
279,2:FALSE,2:FALSE,,1
280,2:FALSE,2:FALSE,,0.65
281,1:TRUE,2:FALSE,+,0.52
282,2:FALSE,2:FALSE,,0.81
283,1:TRUE,2:FALSE,+,0.68
284,1:TRUE,1:TRUE,,0.69
285,1:TRUE,1:TRUE,,0.86
286,1:TRUE,1:TRUE,,0.86
287,1:TRUE,1:TRUE,,0.74
288,2:FALSE,2:FALSE,,0.78
289,1:TRUE,1:TRUE,,0.85
290,1:TRUE,1:TRUE,,0.89
291,2:FALSE,2:FALSE,,0.81
292,2:FALSE,1:TRUE,+,0.71
293,2:FALSE,2:FALSE,,0.51
294,1:TRUE,1:TRUE,,0.53
295,2:FALSE,2:FALSE,,0.89
296,2:FALSE,1:TRUE,+,0.78
297,1:TRUE,1:TRUE,,0.88
298,2:FALSE,2:FALSE,,0.81
299,2:FALSE,2:FALSE,,0.97
300,1:TRUE,1:TRUE,,0.77
301,2:FALSE,1:TRUE,+,0.55
302,2:FALSE,1:TRUE,+,0.56
303,2:FALSE,1:TRUE,+,0.81
304,2:FALSE,2:FALSE,,0.52
305,2:FALSE,2:FALSE,,0.91
306,1:TRUE,1:TRUE,,0.72
307,2:FALSE,2:FALSE,,0.92
308,1:TRUE,1:TRUE,,0.74
309,1:TRUE,1:TRUE,,0.68
310,1:TRUE,1:TRUE,,0.858
311,1:TRUE,1:TRUE,,0.6
312,2:FALSE,2:FALSE,,1
313,2:FALSE,1:TRUE,+,0.84
314,1:TRUE,1:TRUE,,0.56
315,2:FALSE,2:FALSE,,0.52
316,1:TRUE,2:FALSE,+,0.58
317,1:TRUE,1:TRUE,,0.79
318,2:FALSE,1:TRUE,+,0.66
319,2:FALSE,2:FALSE,,1
320,1:TRUE,1:TRUE,,0.58
321,1:TRUE,1:TRUE,,0.74
322,2:FALSE,1:TRUE,+,0.7
323,2:FALSE,1:TRUE,+,0.7
324,2:FALSE,2:FALSE,,0.74
325,2:FALSE,1:TRUE,+,0.77
326,2:FALSE,2:FALSE,,0.85
327,1:TRUE,1:TRUE,,0.79
328,1:TRUE,2:FALSE,+,0.56
329,1:TRUE,2:FALSE,+,0.76
330,2:FALSE,1:TRUE,+,0.67
331,2:FALSE,1:TRUE,+,0.6
332,2:FALSE,1:TRUE,+,0.602
333,1:TRUE,1:TRUE,,0.82
334,1:TRUE,1:TRUE,,0.71
335,2:FALSE,2:FALSE,,0.81
336,1:TRUE,1:TRUE,,0.98
337,1:TRUE,1:TRUE,,0.53
338,2:FALSE,1:TRUE,+,0.55
339,2:FALSE,1:TRUE,+,0.69
340,1:TRUE,1:TRUE,,0.5
341,1:TRUE,1:TRUE,,0.93
342,2:FALSE,1:TRUE,+,0.73
343,1:TRUE,1:TRUE,,0.71
344,1:TRUE,1:TRUE,,0.95
345,2:FALSE,1:TRUE,+,0.67
346,1:TRUE,1:TRUE,,0.83
347,1:TRUE,1:TRUE,,0.72
348,1:TRUE,1:TRUE,,0.59
349,1:TRUE,1:TRUE,,0.99
350,1:TRUE,1:TRUE,,0.81
351,1:TRUE,1:TRUE,,0.63
352,2:FALSE,2:FALSE,,0.74
353,1:TRUE,2:FALSE,+,0.59
354,1:TRUE,1:TRUE,,0.59
355,2:FALSE,1:TRUE,+,0.7
356,1:TRUE,1:TRUE,,0.86
357,2:FALSE,1:TRUE,+,0.51
358,1:TRUE,1:TRUE,,0.96
359,1:TRUE,2:FALSE,+,0.73
