inst#,actual,predicted,error,prediction
1,2:FALSE,2:FALSE,,1
2,1:TRUE,1:TRUE,,1
3,2:FALSE,2:FALSE,,1
4,2:FALSE,2:FALSE,,1
5,2:FALSE,2:FALSE,,1
6,2:FALSE,2:FALSE,,1
7,2:FALSE,2:FALSE,,1
8,2:FALSE,2:FALSE,,1
9,2:FALSE,2:FALSE,,1
10,2:FALSE,1:TRUE,+,1
11,1:TRUE,1:TRUE,,1
12,2:FALSE,2:FALSE,,1
13,1:TRUE,1:TRUE,,1
14,1:TRUE,1:TRUE,,1
15,2:FALSE,1:TRUE,+,1
16,2:FALSE,1:TRUE,+,1
17,1:TRUE,1:TRUE,,1
18,2:FALSE,1:TRUE,+,1
19,2:FALSE,1:TRUE,+,1
20,2:FALSE,1:TRUE,+,1
21,2:FALSE,2:FALSE,,1
22,2:FALSE,1:TRUE,+,1
23,2:FALSE,2:FALSE,,1
24,1:TRUE,1:TRUE,,1
25,1:TRUE,1:TRUE,,1
26,1:TRUE,1:TRUE,,1
27,2:FALSE,2:FALSE,,1
28,2:FALSE,1:TRUE,+,1
29,1:TRUE,1:TRUE,,1
30,1:TRUE,1:TRUE,,1
31,1:TRUE,1:TRUE,,1
32,2:FALSE,1:TRUE,+,1
33,1:TRUE,1:TRUE,,1
34,2:FALSE,1:TRUE,+,1
35,2:FALSE,1:TRUE,+,1
36,2:FALSE,1:TRUE,+,1
37,1:TRUE,1:TRUE,,1
38,1:TRUE,1:TRUE,,1
39,1:TRUE,1:TRUE,,1
40,1:TRUE,1:TRUE,,1
41,1:TRUE,1:TRUE,,1
42,2:FALSE,1:TRUE,+,1
43,1:TRUE,1:TRUE,,1
44,1:TRUE,1:TRUE,,1
45,1:TRUE,1:TRUE,,1
46,2:FALSE,1:TRUE,+,1
47,1:TRUE,2:FALSE,+,1
48,1:TRUE,1:TRUE,,1
49,1:TRUE,1:TRUE,,1
50,2:FALSE,1:TRUE,+,1
51,1:TRUE,1:TRUE,,1
52,1:TRUE,2:FALSE,+,1
53,2:FALSE,1:TRUE,+,1
54,2:FALSE,2:FALSE,,1
55,2:FALSE,2:FALSE,,1
56,2:FALSE,2:FALSE,,1
57,1:TRUE,1:TRUE,,1
58,2:FALSE,2:FALSE,,1
59,1:TRUE,1:TRUE,,1
60,2:FALSE,1:TRUE,+,1
61,2:FALSE,2:FALSE,,1
62,2:FALSE,2:FALSE,,1
63,1:TRUE,1:TRUE,,1
64,2:FALSE,2:FALSE,,1
65,1:TRUE,1:TRUE,,1
66,2:FALSE,2:FALSE,,1
67,1:TRUE,1:TRUE,,1
68,1:TRUE,1:TRUE,,1
69,2:FALSE,1:TRUE,+,1
70,1:TRUE,1:TRUE,,1
71,2:FALSE,1:TRUE,+,1
72,1:TRUE,1:TRUE,,1
73,2:FALSE,1:TRUE,+,1
74,2:FALSE,1:TRUE,+,1
75,1:TRUE,1:TRUE,,1
76,1:TRUE,1:TRUE,,1
77,2:FALSE,1:TRUE,+,1
78,1:TRUE,1:TRUE,,1
79,1:TRUE,1:TRUE,,1
80,2:FALSE,1:TRUE,+,1
81,1:TRUE,1:TRUE,,1
82,1:TRUE,1:TRUE,,1
83,1:TRUE,1:TRUE,,1
84,2:FALSE,1:TRUE,+,1
85,1:TRUE,1:TRUE,,1
86,1:TRUE,1:TRUE,,1
87,1:TRUE,1:TRUE,,1
88,1:TRUE,1:TRUE,,1
89,2:FALSE,1:TRUE,+,1
90,2:FALSE,2:FALSE,,1
91,1:TRUE,1:TRUE,,1
92,1:TRUE,1:TRUE,,1
93,2:FALSE,1:TRUE,+,1
94,2:FALSE,1:TRUE,+,1
95,2:FALSE,1:TRUE,+,1
96,1:TRUE,1:TRUE,,1
97,2:FALSE,1:TRUE,+,1
98,1:TRUE,1:TRUE,,1
99,1:TRUE,1:TRUE,,1
100,1:TRUE,1:TRUE,,1
101,2:FALSE,1:TRUE,+,1
102,2:FALSE,1:TRUE,+,1
